customer_id,name,email,region
1,Customer 1,customer1@example.com,North
2,Customer 2,customer2@example.com,South
3,Customer 3,customer3@example.com,East
4,Customer 4,customer4@example.com,West
5,Customer 5,customer5@example.com,North
6,Customer 6,customer6@example.com,South
7,Customer 7,customer7@example.com,East
8,Customer 8,customer8@example.com,West
9,Customer 9,customer9@example.com,North
10,Customer 10,customer10@example.com,South
11,Customer 11,customer11@example.com,East
12,Customer 12,customer12@example.com,West
13,Customer 13,customer13@example.com,North
14,Customer 14,customer14@example.com,South
15,Customer 15,customer15@example.com,East
16,Customer 16,customer16@example.com,West
17,Customer 17,customer17@example.com,North
18,Customer 18,customer18@example.com,South
19,Customer 19,customer19@example.com,East
20,Customer 20,customer20@example.com,West
21,Customer 21,customer21@example.com,North
22,Customer 22,customer22@example.com,South
23,Customer 23,customer23@example.com,East
24,Customer 24,customer24@example.com,West
25,Customer 25,customer25@example.com,North
26,Customer 26,customer26@example.com,South
27,Customer 27,customer27@example.com,East
28,Customer 28,customer28@example.com,West
29,Customer 29,customer29@example.com,North
30,Customer 30,customer30@example.com,South
31,Customer 31,customer31@example.com,East
32,Customer 32,customer32@example.com,West
33,Customer 33,customer33@example.com,North
34,Customer 34,customer34@example.com,South
35,Customer 35,customer35@example.com,East
36,Customer 36,customer36@example.com,West
37,Customer 37,customer37@example.com,North
38,Customer 38,customer38@example.com,South
39,Customer 39,customer39@example.com,East
40,Customer 40,customer40@example.com,West
41,Customer 41,customer41@example.com,North
42,Customer 42,customer42@example.com,South
43,Customer 43,customer43@example.com,East
44,Customer 44,customer44@example.com,West
45,Customer 45,customer45@example.com,North
46,Customer 46,customer46@example.com,South
47,Customer 47,customer47@example.com,East
48,Customer 48,customer48@example.com,West
49,Customer 49,customer49@example.com,North
50,Customer 50,customer50@example.com,South
51,Customer 51,customer51@example.com,East
52,Customer 52,customer52@example.com,West
53,Customer 53,customer53@example.com,North
54,Customer 54,customer54@example.com,South
55,Customer 55,customer55@example.com,East
56,Customer 56,customer56@example.com,West
57,Customer 57,customer57@example.com,North
58,Customer 58,customer58@example.com,South
59,Customer 59,customer59@example.com,East
60,Customer 60,customer60@example.com,West
61,Customer 61,customer61@example.com,North
62,Customer 62,customer62@example.com,South
63,Customer 63,customer63@example.com,East
64,Customer 64,customer64@example.com,West
65,Customer 65,customer65@example.com,North
66,Customer 66,customer66@example.com,South
67,Customer 67,customer67@example.com,East
68,Customer 68,customer68@example.com,West
69,Customer 69,customer69@example.com,North
70,Customer 70,customer70@example.com,South
71,Customer 71,customer71@example.com,East
72,Customer 72,customer72@example.com,West
73,Customer 73,customer73@example.com,North
74,Customer 74,customer74@example.com,South
75,Customer 75,customer75@example.com,East
76,Customer 76,customer76@example.com,West
77,Customer 77,customer77@example.com,North
78,Customer 78,customer78@example.com,South
79,Customer 79,customer79@example.com,East
80,Customer 80,customer80@example.com,West
81,Customer 81,customer81@example.com,North
82,Customer 82,customer82@example.com,South
83,Customer 83,customer83@example.com,East
84,Customer 84,customer84@example.com,West
85,Customer 85,customer85@example.com,North
86,Customer 86,customer86@example.com,South
87,Customer 87,customer87@example.com,East
88,Customer 88,customer88@example.com,West
89,Customer 89,customer89@example.com,North
90,Customer 90,customer90@example.com,South
91,Customer 91,customer91@example.com,East
92,Customer 92,customer92@example.com,West
93,Customer 93,customer93@example.com,North
94,Customer 94,customer94@example.com,South
95,Customer 95,customer95@example.com,East
96,Customer 96,customer96@example.com,West
97,Customer 97,customer97@example.com,North
98,Customer 98,customer98@example.com,South
99,Customer 99,customer99@example.com,East
100,Customer 100,customer100@example.com,West
