patron_id,first_name,last_name,birth_year,zip_code
A001,Katherine,Johnson,1985,10001
A002,Michael,Smith,1978,10002
A003,Jennifer,Williams,1992,10003
A004,Robert,Brown,1965,10004
A005,Catherine,Davis,1988,10005
A006,Jon,Miller,1975,10006
A007,Elizabeth,Wilson,1982,10007
A008,David,Moore,1990,10008
A009,Sarah,Taylor,1970,10009
A010,Christopher,Anderson,1995,10010
A011,Jessica,Thomas,1983,10011
A012,Matthew,Jackson,1987,10012
A013,Ashley,White,1991,10013
A014,Daniel,Harris,1973,10014
A015,Amanda,Martin,1986,10015
A016,James,Thompson,1969,10016
A017,Melissa,Garcia,1994,10017
A018,Joshua,Martinez,1981,10018
A019,Kimberly,Robinson,1977,10019
A020,Andrew,Clark,1989,10020
A021,Stefanie,Rodriguez,1984,10021
A022,Brian,Lewis,1972,10022
A023,Nicole,Lee,1993,10023
A024,Kevin,Walker,1980,10024
A025,Rachel,Hall,1976,10025
A026,Steven,Allen,1998,10026
A027,Lauren,Young,1968,10027
A028,Jeffrey,Hernandez,1985,10028
A029,Megan,King,1990,10029
A030,Ryan,Wright,1974,10030
A031,Allison,Lopez,1987,10031
A032,Eric,Hill,1996,10032
A033,Kristin,Scott,1979,10033
A034,John,Green,1971,10034
A035,Heather,Adams,1988,10035
A036,Stephen,Baker,1983,10036
A037,Michelle,Gonzalez,1992,10037
A038,MacDonald,Nelson,1966,10038
A039,Caitlin,Carter,1997,10039
A040,Patrick,Mitchell,1975,10040
