patron_id,first_name,last_name,birth_year,zip_code
C001,Cathy,Johnson,1978,45202
C002,Philip,Anderson,1965,60614
C003,Anne,Williams,1982,33101
C004,Robert,Brown,1971,90210
C005,Teresa,Martinez,1988,75201
C006,Allan,Thompson,1959,98101
C007,Katherine,O'Brien,1976,02115
C008,Jon,Davis,1993,10001
C009,Steven,Wilson,1968,30303
C010,Sara,Moore,1985,80202
C011,Geoffrey,Taylor,1972,20001
C012,Christine,Anderson,1990,48201
C013,Michael,Roberts,1963,92101
C014,Elisabeth,Clark,1995,19102
C015,Stephen,Garcia,1980,53202
C016,Catherine,MacDonald,1973,94102
C017,Phillip,Richards,1956,77002
C018,Debra,Lewis,1987,85001
C019,Alan,Martinez,1975,55401
C020,Theresa,Hall,1991,63101
C021,Kathryn,Smith,1969,02115
C022,John,Mitchell,1984,33101
C023,Ann,Baker,1958,60614
C024,Jeff,Nelson,1996,45202
C025,Michelle,Carter,1977,90210
C026,Nicolas,Phillips,1989,98101
C027,Kristine,Evans,1964,75201
C028,Sarah,Turner,1992,80202
C029,Steven,Collins,1970,30303
C030,Jeffery,Anderson,1981,10001
