feedback_id,customer_name,email,feedback_text,rating,submission_date,product_category
2,Michael Chen,michael.chen@email.com,"The winter jacket I ordered arrived quickly and fits perfectly. The material quality is excellent and it keeps me warm even in harsh weather conditions. I appreciate the attention to detail in the stitching and the multiple pockets are very practical for daily use.",5,2024-11-22,Clothing
3,Emily Rodriguez,emily.r@email.com,"Disappointing experience with the blender I purchased. It stopped working after just two weeks of regular use. The motor seems weak and couldn't handle basic tasks like crushing ice. I expected much better quality for the price point. Requesting a refund or replacement as soon as possible.",1,2024-10-03,Home
4,David Thompson,d.thompson@email.com,"The organic coffee beans are absolutely delicious. Rich flavor with subtle notes of chocolate and caramel. My morning routine has improved significantly since I started using this product. The packaging keeps the beans fresh and the resealable bag is convenient.",5,2024-11-30,Food
6,Robert Kim,robert.kim@email.com,"The wireless headphones have decent sound quality but the Bluetooth connection keeps dropping intermittently. This is frustrating when I'm in the middle of a call or listening to music. Battery life is good though and they're comfortable to wear for extended periods.",3,2024-11-05,Electronics
7,Amanda White,awhite@email.com,"Excellent customer service experience when I had questions about sizing for a dress. The representative was patient and helped me find the perfect fit. The dress itself is beautiful and exactly as pictured on the website. Will definitely shop here again.",5,2024-10-19,Clothing
9,Nicole Brown,nicole.b@email.com,"I ordered a science fiction novel that had great reviews but it never arrived. Tracking information shows it was delivered but I never received the package. This is very frustrating and I've been trying to contact customer service for days without success.",1,2024-10-07,Books
11,Lauren Garcia,lauren.garcia@email.com,"The organic pasta sauce tastes homemade and has fresh ingredients. No artificial preservatives which I really appreciate. My family loves it and we've already ordered three more jars. The price is reasonable for the quality you're getting.",5,2024-10-11,Food
12,Daniel Anderson,d.anderson@email.com,"Running shoes are comfortable but started showing wear after only three weeks of light jogging. The sole is separating from the upper part of the shoe. Expected better durability especially from a brand that markets itself as high-performance athletic wear.",2,2024-11-08,Clothing
13,Sophia Taylor,sophia.t@email.com,"Beautiful decorative pillows that match my living room perfectly. The fabric is soft and the colors are vibrant. They arrived well-packaged and without any defects. Shipping was faster than estimated which was a pleasant surprise.",5,2024-10-24,Home
14,Matthew Thomas,matt.thomas@email.com,"The cookbook I purchased has amazing recipes but several pages were printed with blurry text making some instructions difficult to read. The photographs are stunning and the recipes I could read clearly turned out delicious. Quality control issue needs addressing.",3,2024-11-02,Books
15,Olivia Jackson,olivia.j@email.com,"Tablet works well for basic tasks like browsing and reading but struggles with multitasking. Apps occasionally crash when I have more than three running simultaneously. Screen quality is good and battery life is adequate for my needs.",3,2024-10-16,Electronics
16,Ryan Martinez,ryan.m@email.com,"The green tea I ordered has a fresh and delicate flavor profile. Packaging maintains freshness well and the individual tea bags are convenient. Price is slightly higher than grocery store brands but the quality difference is noticeable and worth it.",4,2024-11-20,Food
17,Emma Harris,emma.harris@email.com,"Jeans fit perfectly and the denim quality feels premium and durable. The style is trendy yet classic enough to remain fashionable for years. Wash instructions were clear and the color hasn't faded after multiple washes. Highly recommend this brand.",5,2024-10-09,Clothing
18,Brandon Clark,b.clark@email.com,"Coffee maker broke after just one month of daily use. Water reservoir cracked and started leaking all over my counter. Customer service was responsive but the replacement process is taking too long. Quality is clearly not up to standard.",2,2024-11-15,Home
19,Megan Lewis,megan.lewis@email.com,"The fantasy novel series I bought kept me captivated for weeks. World-building is exceptional and character development is profound. All three books arrived in perfect condition and the hardcover editions are beautiful. Worth every penny for any fantasy enthusiast.",5,2024-10-21,Books
21,Ashley Walker,ashley.w@email.com,"Honey from your food section is pure and delicious with complex floral notes. I use it daily in tea and cooking. The glass jar is attractive and reusable. Local sourcing is a big plus and I appreciate supporting sustainable beekeeping practices.",5,2024-10-13,Food
22,Justin Hall,justin.hall@email.com,"Sweater quality is disappointing for the price. After first wash it shrank significantly despite following care instructions exactly. Fabric pilled immediately and looks worn after just one wear. Definitely not worth the premium price tag attached.",1,2024-11-10,Clothing
23,Rachel Allen,rachel.a@email.com,"Vacuum cleaner has strong suction and works well on both carpet and hardwood floors. Attachments are useful for furniture and tight spaces. Slightly heavier than expected which makes stairs challenging but overall very satisfied with cleaning performance.",4,2024-10-26,Home
24,Tyler Young,tyler.young@email.com,"Biography I purchased was well-written and thoroughly researched. Learned so much about the historical figure. Binding is sturdy and pages are high quality paper. Delivery was prompt and book arrived in pristine condition with careful packaging.",5,2024-11-04,Books
26,Gregory Wright,greg.wright@email.com,"Dark chocolate bar has rich intense flavor without being too bitter. Percentage of cacao is perfect for my taste. Ethically sourced which matters to me as a conscious consumer. Slightly pricey but quality justifies cost for an occasional treat.",4,2024-11-23,Food
27,Samantha Lopez,sam.lopez@email.com,"Dress pants fit well and look professional for office environment. Fabric breathes nicely and doesn't wrinkle easily during long days at work. Color remains true after washing. Great value for professional wardrobe staple pieces.",5,2024-10-05,Clothing
28,Eric Hill,eric.hill@email.com,"Disappointed with the lamp I received. The shade was dented and the base had scratches indicating poor handling during shipping. Light output is dim even with recommended bulb wattage. Considering returning if replacement isn't significantly better.",2,2024-11-17,Home
29,Victoria Scott,victoria.s@email.com,"Poetry collection is beautifully curated with diverse voices and perspectives. Cover design is artistic and binding quality is excellent. Some poems resonated deeply while others weren't my preference but overall a worthwhile addition to my library.",4,2024-10-29,Books
