EmployeeID,FirstName,LastName,Email,Department,JobTitle,HireDate,Salary,Location,Manager,Status
1001,James,Anderson,j.anderson@company.com,Engineering,Senior Software Engineer,2018-03-15,95000,New York,5001,Active
1002,Maria,Garcia,m.garcia@company.com,Marketing,Marketing Manager,2019-06-22,88000,Los Angeles,5002,Active
1003,Robert,Johnson,r.johnson@company.com,Sales,Sales Representative,2020-01-10,65000,Chicago,5003,Active
1004,Jennifer,Williams,j.williams@company.com,Human Resources,HR Specialist,2017-09-05,72000,New York,5004,Active
1005,Michael,Brown,m.brown@company.com,Finance,Financial Analyst,2019-11-18,78000,Boston,5005,Active
1006,Linda,Davis,l.davis@company.com,Engineering,DevOps Engineer,2021-02-28,92000,San Francisco,5001,Active
1007,David,Miller,d.miller@company.com,Customer Support,Support Manager,2018-07-14,75000,Austin,5006,Active
1008,Sarah,Wilson,s.wilson@company.com,Marketing,Content Strategist,2020-05-03,68000,Los Angeles,5002,Active
1009,Christopher,Moore,c.moore@company.com,Sales,Account Executive,2019-08-20,72000,Chicago,5003,Active
1010,Jessica,Taylor,j.taylor@company.com,Engineering,Frontend Developer,2021-04-12,85000,Seattle,5001,Active
1011,Daniel,Anderson,d.anderson@company.com,Finance,Senior Accountant,2017-12-01,82000,Boston,5005,Active
1012,Emily,Thomas,e.thomas@company.com,Human Resources,Recruiter,2020-09-15,64000,New York,5004,Active
1013,Matthew,Jackson,m.jackson@company.com,Engineering,Backend Developer,2019-03-22,88000,San Francisco,5001,Active
1014,Ashley,White,a.white@company.com,Marketing,Social Media Manager,2021-01-08,66000,Los Angeles,5002,Active
1015,Joshua,Harris,j.harris@company.com,Sales,Sales Director,2016-05-30,110000,Chicago,5003,Active
1016,Amanda,Martin,a.martin@company.com,Customer Support,Support Specialist,2020-11-25,58000,Austin,5006,Active
1017,Andrew,Thompson,a.thompson@company.com,Engineering,QA Engineer,2018-10-17,76000,Seattle,5001,Active
1018,Stephanie,Garcia,s.garcia@company.com,Finance,Budget Analyst,2019-07-09,74000,Boston,5005,Active
1019,Ryan,Martinez,r.martinez@company.com,Marketing,Brand Manager,2020-03-14,82000,Los Angeles,5002,Active
1020,Nicole,Robinson,n.robinson@company.com,Sales,Regional Sales Manager,2017-08-28,98000,Chicago,5003,Active
1021,Brandon,Clark,b.clark@company.com,Engineering,Software Architect,2016-11-05,115000,San Francisco,5001,Active
1022,Rachel,Rodriguez,r.rodriguez@company.com,Human Resources,HR Manager,2018-02-19,92000,New York,5004,Active
1023,Kevin,Lewis,k.lewis@company.com,Customer Support,Technical Support Lead,2019-12-10,70000,Austin,5006,Active
1024,Laura,Lee,l.lee@company.com,Marketing,Marketing Analyst,2021-06-01,64000,Los Angeles,5002,Active
1025,Jonathan,Walker,j.walker@company.com,Finance,Tax Specialist,2018-04-23,76000,Boston,5005,Active
1026,Melissa,Hall,m.hall@company.com,Engineering,Mobile Developer,2020-08-15,87000,Seattle,5001,Active
1027,Justin,Allen,j.allen@company.com,Sales,Inside Sales Rep,2021-03-07,62000,Chicago,5003,Active
1028,Michelle,Young,m.young@company.com,Human Resources,Benefits Coordinator,2019-10-12,60000,New York,5004,Active
1029,Tyler,Hernandez,t.hernandez@company.com,Engineering,Data Engineer,2018-06-30,94000,San Francisco,5001,Active
1030,Kimberly,King,k.king@company.com,Marketing,Email Marketing Specialist,2020-12-20,63000,Los Angeles,5002,Active
1031,Eric,Wright,e.wright@company.com,Finance,Financial Controller,2017-03-11,105000,Boston,5005,Active
1032,Amy,Lopez,a.lopez@company.com,Customer Support,Customer Success Manager,2019-05-18,72000,Austin,5006,Active
1033,Brian,Hill,b.hill@company.com,Engineering,Security Engineer,2020-07-25,96000,Seattle,5001,Active
1034,Angela,Scott,a.scott@company.com,Sales,Business Development Manager,2018-09-14,90000,Chicago,5003,Active
1035,Jeffrey,Green,j.green@company.com,Marketing,SEO Specialist,2021-02-16,65000,Los Angeles,5002,Active
1036,Rebecca,Adams,r.adams@company.com,Human Resources,Training Coordinator,2019-11-22,62000,New York,5004,Active
1037,Nicholas,Baker,n.baker@company.com,Engineering,Full Stack Developer,2020-04-08,89000,San Francisco,5001,Active
1038,Katherine,Gonzalez,k.gonzalez@company.com,Finance,Payroll Specialist,2018-08-19,68000,Boston,5005,Active
1039,Scott,Nelson,s.nelson@company.com,Customer Support,Support Team Lead,2019-01-30,71000,Austin,5006,Active
1040,Christine,Carter,c.carter@company.com,Marketing,Product Marketing Manager,2020-10-05,85000,Los Angeles,5002,Active
1041,Benjamin,Mitchell,b.mitchell@company.com,Sales,Enterprise Account Manager,2017-07-12,95000,Chicago,5003,Active
1042,Samantha,Perez,s.perez@company.com,Engineering,Cloud Engineer,2019-09-27,93000,Seattle,5001,Active
1043,Gregory,Roberts,g.roberts@company.com,Finance,Investment Analyst,2021-05-14,80000,Boston,5005,Active
1044,Deborah,Turner,d.turner@company.com,Human Resources,Compensation Analyst,2018-12-03,73000,New York,5004,Active
1045,Samuel,Phillips,s.phillips@company.com,Engineering,Site Reliability Engineer,2020-02-20,91000,San Francisco,5001,Active
1046,Carolyn,Campbell,c.campbell@company.com,Marketing,Growth Marketing Manager,2019-04-16,84000,Los Angeles,5002,Active
1047,Patrick,Parker,p.parker@company.com,Sales,Channel Sales Manager,2018-11-09,87000,Chicago,5003,Active
1048,Janet,Evans,j.evans@company.com,Customer Support,Support Specialist,2021-07-22,57000,Austin,5006,Active
1049,Raymond,Edwards,r.edwards@company.com,Engineering,Machine Learning Engineer,2017-10-28,108000,Seattle,5001,Active
1050,Catherine,Collins,c.collins@company.com,Finance,Credit Analyst,2019-08-13,75000,Boston,5005,Active
1051,Thomas,Stewart,t.stewart@company.com,Marketing,Marketing Coordinator,2020-11-30,59000,Los Angeles,5002,Active
1052,Donna,Sanchez,d.sanchez@company.com,Human Resources,Employee Relations Specialist,2018-05-07,69000,New York,5004,Active
1053,Gary,Morris,g.morris@company.com,Engineering,Platform Engineer,2019-12-18,90000,San Francisco,5001,Active
1054,Ruth,Rogers,r.rogers@company.com,Sales,Sales Operations Manager,2020-06-11,83000,Chicago,5003,Active
1055,Peter,Reed,p.reed@company.com,Customer Support,Documentation Specialist,2021-04-26,61000,Austin,5006,Active
1056,Sharon,Cook,s.cook@company.com,Finance,Treasury Analyst,2018-01-15,77000,Boston,5005,Active
1057,Mark,Morgan,m.morgan@company.com,Engineering,Engineering Manager,2017-06-20,112000,Seattle,5001,Active
1058,Lisa,Bell,l.bell@company.com,Marketing,Event Marketing Manager,2019-10-08,79000,Los Angeles,5002,Active
1059,Steven,Murphy,s.murphy@company.com,Sales,Key Account Manager,2020-09-03,88000,Chicago,5003,Active
1060,Karen,Bailey,k.bailey@company.com,Human Resources,HRIS Specialist,2018-03-27,70000,New York,5004,Active
1061,Paul,Rivera,p.rivera@company.com,Engineering,Database Administrator,2019-07-14,86000,San Francisco,5001,Active
1062,Betty,Cooper,b.cooper@company.com,Finance,Compliance Officer,2021-01-19,81000,Boston,5005,Active
1063,George,Richardson,g.richardson@company.com,Customer Support,Quality Assurance Analyst,2020-05-28,64000,Austin,5006,Active
1064,Sandra,Cox,s.cox@company.com,Marketing,Public Relations Manager,2018-09-06,82000,Los Angeles,5002,Active
1065,Kenneth,Howard,k.howard@company.com,Sales,Territory Manager,2019-11-14,79000,Chicago,5003,Active
