id,name,age,email,salary,department,join_date,performance_score
1,James Smith,34,james.smith@company.com,75000.50,Engineering,2018-03-15,4.2
2,Mary Johnson,28,mary.johnson@company.com,62000.00,Marketing,2019-07-22,3.8
3,Robert Williams,45,robert.williams@company.com,95000.75,Engineering,2015-01-10,4.5
4,Patricia Brown,31,patricia.brown@company.com,58000.25,HR,2020-02-14,3.9
5,Michael Jones,52,michael.jones@company.com,120000.00,Engineering,2015-06-01,4.7
6,Jennifer Garcia,29,jennifer.garcia@company.com,54000.50,Sales,2021-03-18,3.5
7,William Martinez,38,william.martinez@company.com,82000.00,Finance,2017-09-05,4.1
8,Linda Rodriguez,42,linda.rodriguez@company.com,88000.75,Engineering,2016-11-20,4.3
9,David Wilson,33,david.wilson@company.com,67000.00,Marketing,2019-04-12,3.7
10,Barbara Anderson,27,barbara.anderson@company.com,51000.25,Sales,2021-08-30,3.4
11,Richard Thomas,48,richard.thomas@company.com,105000.50,Engineering,2015-10-15,4.6
12,Susan Taylor,36,susan.taylor@company.com,71000.00,HR,2018-05-25,4.0
13,Joseph Moore,41,joseph.moore@company.com,89000.75,Finance,2017-02-08,4.2
14,Jessica Jackson,30,jessica.jackson@company.com,63000.50,Marketing,2020-06-19,3.8
15,Thomas Martin,55,thomas.martin@company.com,130000.00,Engineering,2015-03-22,4.8
16,Sarah Lee,26,sarah.lee@company.com,48000.25,Sales,2022-01-10,3.3
17,Charles Perez,39,charles.perez@company.com,84000.00,Engineering,2017-07-14,4.2
18,Karen White,32,karen.white@company.com,69000.50,HR,2019-09-28,3.9
19,Daniel Harris,44,daniel.harris@company.com,92000.75,Finance,2016-04-03,4.4
20,Nancy Clark,28,nancy.clark@company.com,56000.00,Marketing,2021-05-17,3.6
21,Matthew Lewis,37,matthew.lewis@company.com,78000.25,Engineering,2018-08-11,4.1
22,Lisa Robinson,43,lisa.robinson@company.com,90000.50,Sales,2016-12-06,4.3
23,Mark Walker,31,mark.walker@company.com,65000.75,Marketing,2020-03-24,3.8
24,Betty Hall,49,betty.hall@company.com,108000.00,Engineering,2015-07-19,4.5
25,Donald Allen,35,donald.allen@company.com,73000.25,Finance,2018-11-02,4.0
26,Dorothy Young,29,dorothy.young@company.com,59000.50,HR,2021-02-15,3.7
27,Steven Hernandez,46,steven.hernandez@company.com,98000.75,Engineering,2016-05-28,4.4
28,Sandra King,33,sandra.king@company.com,68000.00,Sales,2019-10-07,3.9
29,Paul Wright,40,paul.wright@company.com,86000.25,Finance,2017-03-21,4.2
30,Ashley Lopez,27,ashley.lopez@company.com,52000.50,Marketing,2022-04-09,3.5
31,Kenneth Hill,51,kenneth.hill@company.com,115000.75,Engineering,2015-09-13,4.6
32,Kimberly Scott,34,kimberly.scott@company.com,72000.00,HR,2018-12-26,4.0
33,Edward Green,38,edward.green@company.com,81000.25,Engineering,2017-06-05,4.1
34,Donna Adams,30,donna.adams@company.com,61000.50,Sales,2020-11-18,3.7
35,Brian Baker,45,brian.baker@company.com,94000.75,Finance,2016-02-29,4.3
36,Michelle Nelson,28,michelle.nelson@company.com,55000.00,Marketing,2021-07-12,3.6
37,Ronald Carter,42,ronald.carter@company.com,89000.25,Engineering,2017-01-04,4.2
38,Emily Mitchell,36,emily.mitchell@company.com,76000.50,HR,2018-09-17,4.0
39,Kevin Perez,47,kevin.perez@company.com,102000.75,Engineering,2015-12-08,4.5
40,Carol Roberts,32,carol.roberts@company.com,66000.00,Sales,2019-11-22,3.8
41,George Turner,39,george.turner@company.com,83000.25,Finance,2017-08-15,4.1
42,Amanda Phillips,29,amanda.phillips@company.com,58000.50,Marketing,2021-04-28,3.7
43,Jason Campbell,44,jason.campbell@company.com,91000.75,Engineering,2016-06-11,4.3
44,Melissa Parker,31,melissa.parker@company.com,64000.00,HR,2020-01-24,3.9
45,Jeff Evans,53,jeff.evans@company.com,125000.25,Engineering,2015-04-06,4.7
46,Deborah Edwards,35,deborah.edwards@company.com,74000.50,Sales,2018-10-19,4.0
47,Gary Collins,41,gary.collins@company.com,87000.75,Finance,2017-05-02,4.2
48,Stephanie Stewart,27,stephanie.stewart@company.com,53000.00,Marketing,2022-02-14,3.5
49,Larry Sanchez,48,larry.sanchez@company.com,106000.25,Engineering,2015-11-27,4.5
50,Rebecca Morris,33,rebecca.morris@company.com,70000.50,HR,2019-03-10,3.9
51,Frank Rogers,40,frank.rogers@company.com,85000.75,Engineering,2017-10-23,4.2
52,Sharon Reed,30,sharon.reed@company.com,62000.00,Sales,2020-08-05,3.7
