customer_id,full_name,email,phone,
C1001,John Smith,john.smith@email.com,555-123-4567
C1002,Jane Doe,jane.doe@company.com,555-234-5678
C1003,Robert Johnson,robert.johnson@mail.com,555-345-6789
C1004,Michael Brown,m.brown@email.net,555-567-8901
C1005,Sarah Williams,sarah.williams@email.com,555-678-9012
C1006,David Martinez,david.martinez@company.com,555-789-0123
C1007,Emily Davis,emily.davis@mail.com,555-890-1234
C1008,James Wilson,james.wilson@email.net,555-901-2345
C1009,Jennifer Garcia,jennifer.garcia@email.com,555-012-3456
C1010,Christopher Miller,chris.miller@company.com,555-123-4568
C1011,Amanda Rodriguez,amanda.rodriguez@mail.com,555-234-5679
C1012,Matthew Anderson,matthew.anderson@email.net,555-345-6790
C1013,Ashley Taylor,ashley.taylor@email.com,555-456-7801
C1014,Daniel Thomas,daniel.thomas@company.com,555-567-8902
C1015,Jessica Moore,jessica.moore@mail.com,555-678-9013
C1016,Joshua Jackson,joshua.jackson@email.net,555-789-0124
C1017,Melissa White,melissa.white@email.com,555-890-1235
C1018,Andrew Harris,andrew.harris@company.com,555-901-2346
C1019,Stephanie Martin,stephanie.martin@mail.com,555-012-3457
C1020,Ryan Thompson,ryan.thompson@email.net,555-123-4569
C1021,Nicole Lee,nicole.lee@email.com,555-234-5680
C1022,Brandon Walker,brandon.walker@company.com,555-345-6791
C1023,Lauren Hall,lauren.hall@mail.com,555-456-7802
C1024,Jason Allen,jason.allen@email.net,555-567-8903
C1025,Samantha Young,samantha.young@email.com,555-678-9014
C1026,Justin King,justin.king@company.com,555-789-0125
C1027,Rachel Wright,rachel.wright@mail.com,555-890-1236
C1028,Kevin Scott,kevin.scott@email.net,555-901-2347
C1029,Heather Green,heather.green@email.com,555-012-3458
C1030,Brian Adams,brian.adams@company.com,555-123-4570
C1031,Rebecca Baker,rebecca.baker@mail.com,555-234-5681
C1032,Timothy Nelson,timothy.nelson@email.com,555-345-6792
C1033,Laura Carter,laura.carter@company.com,555-456-7803
C1034,Patrick Mitchell,patrick.mitchell@mail.com,555-567-8904
C1035,Victoria Perez,victoria.perez@email.net,555-678-9015
C1036,Nathan Roberts,nathan.roberts@email.com,555-789-0126
C1037,Christina Turner,christina.turner@company.com,555-890-1237
C1038,Gregory Phillips,gregory.phillips@mail.com,555-901-2348
C1039,Kimberly Campbell,kimberly.campbell@email.net,555-012-3459
C1040,Eric Parker,eric.parker@email.com,555-123-4571
C1041,Margaret Evans,margaret.evans@company.com,555-234-5682
C1042,Stephen Edwards,stephen.edwards@mail.com,555-345-6793
C1043,Linda Collins,linda.collins@email.net,555-456-7804
C1044,Thomas Stewart,thomas.stewart@email.com,555-567-8905
C1045,Donna Sanchez,donna.sanchez@company.com,555-678-9016
C1046,Jeffrey Morris,jeffrey.morris@mail.com,555-789-0127
C1047,Carol Rogers,carol.rogers@email.net,555-890-1238
C1048,Richard Reed,richard.reed@email.com,555-901-2349
C1049,Nancy Cook,nancy.cook@company.com,555-012-3460
C1050,Joseph Morgan,joseph.morgan@mail.com,555-123-4572
C1051,Karen Bell,karen.bell@email.net,555-234-5683
C1052,Charles Murphy,charles.murphy@email.com,555-345-6794
C1053,Lisa Bailey,lisa.bailey@company.com,555-456-7805
C1054,Paul Rivera,paul.rivera@mail.com,555-567-8906
C1055,Sandra Cooper,sandra.cooper@email.net,555-678-9017
C1056,Mark Richardson,mark.richardson@email.com,555-789-0128
C1057,Helen Cox,helen.cox@company.com,555-890-1239
C1058,Donald Howard,donald.howard@mail.com,555-901-2350
C1059,Betty Ward,betty.ward@email.net,555-012-3461
C1060,George Torres,george.torres@email.com,555-123-4573
C1061,Dorothy Peterson,dorothy.peterson@company.com,555-234-5684
C1062,Kenneth Gray,kenneth.gray@mail.com,555-345-6795
C1063,Maria Ramirez,maria.ramirez@email.net,555-456-7806
C1064,Steven James,steven.james@email.com,555-567-8907
C1065,Barbara Watson,barbara.watson@company.com,555-678-9018
C1066,Edward Brooks,edward.brooks@mail.com,555-789-0129
C1067,Susan Kelly,susan.kelly@email.net,555-890-1240
C1068,Ronald Sanders,ronald.sanders@email.com,555-901-2351
C1069,Michelle Price,michelle.price@company.com,555-012-3462
C1070,Anthony Bennett,anthony.bennett@mail.com,555-123-4574
C1071,Emily Wood,emily.wood@email.net,555-234-5685
C1072,William Barnes,william.barnes@email.com,555-345-6796
C1073,Deborah Ross,deborah.ross@company.com,555-456-7807
C1074,Kevin Henderson,kevin.henderson@mail.com,555-567-8908
C1075,Sarah Coleman,sarah.coleman@email.net,555-678-9019
C1076,Frank Jenkins,frank.jenkins@email.com,555-789-0130
C1077,Patricia Perry,patricia.perry@company.com,555-890-1241
C1078,Raymond Powell,raymond.powell@mail.com,555-901-2352
C1079,Angela Long,angela.long@email.net,555-012-3463
C1080,Gary Patterson,gary.patterson@email.com,555-123-4575
