customer_id,full_name,email,phone,registration_date
1,John Smith,john.smith@email.com,555-123-4567,2023-01-15
2,Alice Brown,alice.brown@mail.com,555-234-5678,2023-01-20
3,David Miller,david.miller@email.com,555-345-6789,2023-01-22
4,Emma Wilson,emma.wilson@company.com,555-456-7890,2023-01-25
5,James Taylor,james.taylor@mail.net,555-567-8901,2023-01-28
6,Sophia Anderson,sophia.anderson@email.com,555-678-9012,2023-02-01
7,Michael Brown,michael.brown@company.com,555-789-0123,2023-02-03
8,Olivia Davis,olivia.davis@mail.com,555-890-1234,2023-02-05
9,William Martinez,william.m@email.net,555-901-2345,2023-02-08
10,Isabella Garcia,isabella.garcia@company.com,555-012-3456,2023-02-10
11,David Miller,david.miler@email.com,555-111-2222,2023-02-12
12,Emma Wilson,emma.wilsn@company.com,555-222-3333,2023-02-15
13,James Taylor,james.taylor@mail.net,555-333-4444,2023-02-18
14,Sophia Anderson,sophia.andersen@email.com,555-444-5555,2023-02-20
15,John Smoth,john.smith@email.com,555-999-8888,2023-02-22
16,Robert Chen,robert.chen@email.com,555-666-7777,2023-02-25
17,Linda Martinez,linda.martinez@mail.com,555-777-8888,2023-02-28
18,Christopher Lee,chris.lee@company.net,555-888-9999,2023-03-01
19,Patricia White,patricia.white@email.com,555-999-0000,2023-03-03
20,Daniel Harris,daniel.harris@mail.com,555-111-1111,2023-03-05
21,Jennifer Clark,jennifer.clark@company.com,555-222-2222,2023-03-08
22,Matthew Lewis,matthew.lewis@email.net,555-333-3333,2023-03-10
23,Amanda Walker,amanda.walker@mail.com,555-444-4444,2023-03-12
24,Joshua Hall,joshua.hall@company.com,555-555-5555,2023-03-15
25,Ashley Allen,ashley.allen@email.com,555-666-6666,2023-03-18
26,Christopher Lee,chris.lee@company.net,555-777-7777,2023-03-20
27,Linda Martinez,linda.martines@mail.com,555-888-8888,2023-03-22
28,Robert Chen,robert.cehn@email.com,555-999-9999,2023-03-25
29,Amanda Walker,amanda.walker@mail.com,555-000-0000,2023-03-28
30,Joshua Hall,joshua.hal@company.com,555-123-0000,2023-03-30
31,Brian King,brian.king@email.com,555-234-1111,2023-04-01
32,Nicole Wright,nicole.wright@mail.net,555-345-2222,2023-04-03
33,Kevin Scott,kevin.scott@company.com,555-456-3333,2023-04-05
34,Rachel Green,rachel.green@email.com,555-567-4444,2023-04-08
35,Jason Torres,jason.torres@mail.com,555-678-5555,2023-04-10
36,Melissa Nguyen,melissa.nguyen@company.net,555-789-6666,2023-04-12
37,Brian King,brian.king@email.com,555-890-7777,2023-04-15
38,Nicole Wright,nicole.wright@mail.net,555-901-8888,2023-04-18
39,Kevin Scott,kevin.scot@company.com,555-012-9999,2023-04-20
40,Rachel Green,rachel.grene@email.com,555-123-1234,2023-04-22
41,Jason Torres,jason.tores@mail.com,555-234-2345,2023-04-25
42,Melissa Nguyen,melissa.nguyen@company.net,555-345-3456,2023-04-28
43,Thomas Hill,thomas.hill@email.com,555-456-4567,2023-05-01
44,Rebecca Flores,rebecca.flores@mail.com,555-567-5678,2023-05-03
45,Robert Wilson,robert.w@company.com,555-678-6789,2023-05-05
46,Laura Adams,laura.adams@email.net,555-789-7890,2023-05-08
47,Charles Nelson,charles.nelson@company.com,555-890-8901,2023-05-10
48,Stephanie Baker,stephanie.baker@mail.com,555-901-9012,2023-05-12
