customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date,account_status,loyalty_points
1001,John,Smith,john.smith@example.com,(555) 123-4567,123 Main St,Springfield,IL,62701,2020-03-15,active,2450
1002,Jane,Doe,jane.doe@example.com,(555) 234-5678,456 Oak Ave,Portland,OR,97201,2021-07-22,active,3120
1003,Michael,Johnson,michael.johnson@example.com,(555) 345-6789,789 Pine Rd,Austin,TX,78701,2020-11-08,active,1875
1004,Emily,Williams,emily.williams@example.com,(555) 456-7890,321 Elm St,Seattle,WA,98101,2022-01-14,inactive,450
1005,David,Brown,david.brown@example.com,(555) 567-8901,654 Maple Dr,Boston,MA,02101,2020-05-20,active,4200
1006,Sarah,Jones,sarah.jones@example.com,(555) 678-9012,987 Cedar Ln,Denver,CO,80201,2021-09-03,active,2890
1007,Robert,Garcia,robert.garcia@example.com,(555) 789-0123,147 Birch Ct,Phoenix,AZ,85001,2022-06-11,suspended,0
1008,Lisa,Martinez,lisa.martinez@example.com,(555) 890-1234,258 Spruce Way,Miami,FL,33101,2020-12-25,active,3650
1009,James,Rodriguez,james.rodriguez@example.com,(555) 901-2345,369 Willow Blvd,Atlanta,GA,30301,2021-03-30,active,1920
1010,Maria,Davis,maria.davis@example.com,(555) 012-3456,741 Ash Ave,Chicago,IL,60601,2022-08-17,active,2340
1011,William,Lopez,william.lopez@example.com,(555) 123-4568,852 Poplar St,Detroit,MI,48201,2020-02-09,inactive,780
1012,Jennifer,Wilson,jennifer.wilson@example.com,(555) 234-5679,963 Hickory Rd,Nashville,TN,37201,2021-11-22,active,4850
1013,Christopher,Anderson,christopher.anderson@example.com,(555) 345-6780,159 Walnut Dr,Minneapolis,MN,55401,2022-04-05,active,1560
1014,Amanda,Taylor,amanda.taylor@example.com,(555) 456-7891,357 Chestnut Ln,Philadelphia,PA,19101,2020-07-18,active,3290
1015,Daniel,Thomas,daniel.thomas@example.com,(555) 567-8902,486 Sycamore Ct,San Diego,CA,92101,2021-12-01,suspended,120
1016,Jessica,Moore,jessica.moore@example.com,(555) 678-9013,753 Magnolia Way,Las Vegas,NV,89101,2022-02-28,active,2670
1017,Matthew,Jackson,matthew.jackson@example.com,(555) 789-0124,951 Dogwood Blvd,Charlotte,NC,28201,2020-10-12,active,4125
1018,Ashley,White,ashley.white@example.com,(555) 890-1235,159 Redwood Ave,Indianapolis,IN,46201,2021-05-07,inactive,920
1019,Joshua,Harris,joshua.harris@example.com,(555) 901-2346,357 Cypress St,Columbus,OH,43201,2022-09-19,active,1785
1020,Brittany,Martin,brittany.martin@example.com,(555) 012-3457,486 Juniper Rd,San Jose,CA,95101,2020-04-23,active,3510
1021,Andrew,Thompson,andrew.thompson@example.com,(555) 123-4569,753 Beech Dr,Dallas,TX,75201,2021-08-14,active,2105
1022,Megan,Garcia,megan.garcia@example.com,(555) 234-5670,951 Fir Ln,Houston,TX,77001,2022-03-26,active,1435
1023,Ryan,Martinez,ryan.martinez@example.com,(555) 345-6781,159 Hemlock Ct,Jacksonville,FL,32099,2020-09-30,suspended,0
1024,Samantha,Robinson,samantha.robinson@example.com,(555) 456-7892,357 Alder Way,San Francisco,CA,94101,2021-01-11,active,4680
1025,Nicholas,Clark,nicholas.clark@example.com,(555) 567-8903,486 Cottonwood Blvd,Fort Worth,TX,76101,2022-07-04,active,2920
1026,Lauren,Lewis,lauren.lewis@example.com,(555) 678-9014,753 Basswood Ave,Milwaukee,WI,53201,2020-06-16,active,3840
1027,Brandon,Lee,brandon.lee@example.com,(555) 789-0125,951 Locust St,El Paso,TX,79901,2021-10-28,inactive,640
1028,Stephanie,Walker,stephanie.walker@example.com,(555) 890-1236,159 Ironwood Rd,Memphis,TN,38101,2022-05-09,active,1995
1029,Justin,Hall,justin.hall@example.com,(555) 901-2347,357 Buckeye Dr,Baltimore,MD,21201,2020-08-21,active,2780
1030,Rachel,Allen,rachel.allen@example.com,(555) 012-3458,486 Laurel Ln,Albuquerque,NM,87101,2021-02-15,active,3365
1031,Tyler,Young,tyler.young@example.com,(555) 123-4560,753 Mesquite Ct,Tucson,AZ,85701,2022-11-03,active,1210
1032,Nicole,King,nicole.king@example.com,(555) 234-5671,951 Pinyon Way,Fresno,CA,93701,2020-01-07,suspended,45
1033,Kevin,Wright,kevin.wright@example.com,(555) 345-6782,159 Sequoia Blvd,Sacramento,CA,94201,2021-06-19,active,4390
1034,Amber,Scott,amber.scott@example.com,(555) 456-7893,357 Yew Ave,Long Beach,CA,90801,2022-10-02,active,2555
1035,Eric,Torres,eric.torres@example.com,(555) 567-8904,486 Myrtle St,Kansas City,MO,64101,2020-12-14,active,3075
1036,Heather,Nguyen,heather.nguyen@example.com,(555) 678-9015,753 Azalea Rd,Mesa,AZ,85201,2021-04-27,inactive,895
1037,Aaron,Hill,aaron.hill@example.com,(555) 789-0126,951 Camellia Dr,Virginia Beach,VA,23451,2022-08-08,active,1640
1038,Michelle,Flores,michelle.flores@example.com,(555) 890-1237,159 Gardenia Ln,Atlanta,GA,30302,2020-03-01,active,4915
1039,Jason,Green,jason.green@example.com,(555) 901-2348,357 Jasmine Ct,Oakland,CA,94601,2021-07-13,active,2185
1040,Melissa,Adams,melissa.adams@example.com,(555) 012-3459,486 Lilac Way,Omaha,NE,68101,2022-01-25,active,1520
1041,Jacob,Baker,jacob.baker@example.com,(555) 123-4561,753 Orchid Blvd,Tulsa,OK,74101,2020-11-06,suspended,230
1042,Amy,Gonzalez,amy.gonzalez@example.com,(555) 234-5672,951 Peony Ave,Minneapolis,MN,55402,2021-09-18,active,3425
1043,Zachary,Nelson,zachary.nelson@example.com,(555) 345-6783,159 Rose St,Wichita,KS,67201,2022-04-30,active,2815
