customer_id,full_name,email,phone
A001,Bob Smith,robert.smtih@gmail.com,5551234567
A002,Jennifer Taylor,jennifer.taylor@outlook.com,555-987-6543
A003,Mary Jane Wilson,maryjane.wilson@yahoo.com,555.234.5678
A004,David Rodriguez,david.rodriguez@gmail.com,555-876-5432
A005,Chris Lee,christopher.l@hotmail.com,(555) 345-6789
A006,Amanda Foster,amanda.foster@company.com,555-654-3210
A007,Liz Davis,elizabeth.davs@gmail.com,5552345678
A008,Kevin Martinez,kevin.martinez@email.com,555-111-2222
A009,Mike Johnson,michael.johson@yahoo.com,555.456.7890
A010,Sarah Thompson,sarah.thompson@outlook.com,555-333-4444
A011,Tom Anderson,thomas.anderson@gmail.com,(555) 567-8901
A012,Rachel Green,rachel.green@company.com,555-777-8888
A013,Jim Brown,james.brwon@hotmail.com,5553456789
A014,Patricia Moore,patricia.moore@email.com,555-999-0000
A015,Bill Wilson,william.wilson@yahoo.com,555.678.9012
A016,Laura Martinez,laura.martinez@outlook.com,555-222-3333
A017,Dan Miller,daniel.miler@gmail.com,(555) 789-0123
A018,Michelle Robinson,michelle.robinson@company.com,555-444-5555
A019,Steve Garcia,steven.garci@hotmail.com,5554567890
A020,Emily White,emily.white@email.com,555-666-7777
A021,Matt Harris,matthew.haris@yahoo.com,555.890.1234
A022,Nicole Clark,nicole.clark@outlook.com,555-555-6666
A023,Andy Thomas,andrew.thomas@gmail.com,(555) 901-2345
A024,Samantha King,samantha.king@company.com,555-888-9999
A025,Joe Wright,joseph.wrght@hotmail.com,5555678901
A026,Rebecca Scott,rebecca.scott@email.com,555-111-3333
A027,Charlie Parker,charles.parke@yahoo.com,555.012.3456
A028,Melissa Adams,melissa.adams@outlook.com,555-222-4444
A029,Rick Campbell,richard.cambpell@gmail.com,(555) 123-4567
A030,Angela Murphy,angela.murphy@company.com,555-333-5555
A031,Tony Martinez,anthony.martinez@hotmail.com,5556789012
A032,Diana Foster,diana.foster@email.com,555-444-6666
A033,Greg Peterson,gregory.peterson@yahoo.com,555.234.5679
A034,Kimberly Hughes,kimberly.hughes@outlook.com,555-555-7777
A035,Alex Turner,alexander.turnr@gmail.com,(555) 345-6780
A036,Vanessa Cooper,vanessa.cooper@company.com,555-666-8888
A037,Pete Richardson,peter.richrdson@hotmail.com,5557890123
A038,Christina Bell,christina.bell@email.com,555-777-9999
A039,Sam Phillips,samuel.philips@yahoo.com,555.456.7891
A040,Heather Nelson,heather.nelson@outlook.com,555-888-0000
A041,Frank Mitchell,franklin.mitchell@gmail.com,555-999-1111
A042,Jessica Rodriguez,jessica.rodriguez@company.com,555-123-7890
A043,Ben Carter,benjamin.cartr@hotmail.com,(555) 567-8902
A044,Stephanie Evans,stephanie.evans@email.com,555-234-8901
A045,Dave Turner,david.turner@yahoo.com,5558901234
A046,Natalie Brooks,natalie.brooks@outlook.com,555-345-9012
A047,Rob Johnson,robert.johnson@gmail.com,555.678.9013
A048,Megan Kelly,megan.kelly@company.com,555-456-0123
A049,Will Roberts,william.roberts@hotmail.com,(555) 789-0124
A050,Ashley Ward,ashley.ward@email.com,555-567-1234
A051,Jack Morrison,jackson.morrison@yahoo.com,5559012345
A052,Lauren Bailey,lauren.bailey@outlook.com,555-678-2345
A053,Eddie Collins,edward.colins@gmail.com,555.890.1235
A054,Brittany Reed,brittany.reed@company.com,555-901-2346
A055,Kate Williams,katherine.willams@yahoo.com,(555) 234-5679
A056,Marcus Hayes,marcus.hayes@email.com,555-345-6791
A057,Tiffany Sanders,tiffany.sanders@outlook.com,5551234568
A058,Drew Cooper,andrew.cooper@gmail.com,555-456-7892
A059,Courtney Price,courtney.price@company.com,555.567.8903
A060,Nathan Jenkins,nathan.jenkins@hotmail.com,(555) 678-9014
A061,Allison Ross,allison.ross@email.com,555-789-0125
A062,Carl Henderson,carl.henderson@yahoo.com,5550123456
A063,Pamela Coleman,pamela.coleman@outlook.com,555-234-5680
A064,Bryan Griffin,bryan.griffin@gmail.com,555.345.6792
A065,Denise Powell,denise.powell@company.com,(555) 456-7893
A066,Gerald Barnes,gerald.barnes@hotmail.com,555-567-8904
A067,Teresa Russell,teresa.russell@email.com,5556789015
A068,Randy Howard,randall.howard@yahoo.com,555-890-1236
A069,Cynthia Fisher,cynthia.fisher@outlook.com,555.901.2347
A070,Philip Stone,philip.stone@gmail.com,(555) 012-3457
