customer_id,full_name,email,phone
L001,Robert Smith,robert.smith@gmail.com,(555) 123-4567
L002,Jennifer Anderson,jennifer.anderson@yahoo.com,(555) 234-5678
L003,Michael Johnson,michael.johnson@hotmail.com,(555) 345-6789
L004,Elizabeth Davis,elizabeth.davis@company.com,(555) 456-7890
L005,William Brown,william.brown@outlook.com,(555) 567-8901
L006,Mary-Jane Wilson,maryjane.wilson@gmail.com,(555) 678-9012
L007,Christopher Lee,christopher.lee@yahoo.com,(555) 789-0123
L008,Sarah Martinez,sarah.martinez@hotmail.com,(555) 890-1234
L009,David Thompson,david.thompson@company.com,(555) 901-2345
L010,Jessica Garcia,jessica.garcia@outlook.com,(555) 012-3456
L011,James Rodriguez,james.rodriguez@gmail.com,(555) 123-4568
L012,Amanda White,amanda.white@yahoo.com,(555) 234-5679
L013,Daniel Harris,daniel.harris@hotmail.com,(555) 345-6780
L014,Ashley Martin,ashley.martin@company.com,(555) 456-7891
L015,Matthew Thomas,matthew.thomas@outlook.com,(555) 567-8902
L016,Emily Jackson,emily.jackson@gmail.com,(555) 678-9013
L017,Joseph Taylor,joseph.taylor@yahoo.com,(555) 789-0124
L018,Nicole Moore,nicole.moore@hotmail.com,(555) 890-1235
L019,Ryan Anderson,ryan.anderson@company.com,(555) 901-2346
L020,Stephanie Clark,stephanie.clark@outlook.com,(555) 012-3457
L021,Kevin Lewis,kevin.lewis@gmail.com,(555) 123-4569
L022,Melissa Walker,melissa.walker@yahoo.com,(555) 234-5680
L023,Brian Hall,brian.hall@hotmail.com,(555) 345-6781
L024,Rebecca Allen,rebecca.allen@company.com,(555) 456-7892
L025,Jason Young,jason.young@outlook.com,(555) 567-8903
L026,Laura King,laura.king@gmail.com,(555) 678-9014
L027,Timothy Wright,timothy.wright@yahoo.com,(555) 789-0125
L028,Kimberly Lopez,kimberly.lopez@hotmail.com,(555) 890-1236
L029,Jeffrey Hill,jeffrey.hill@company.com,(555) 901-2347
L030,Michelle Scott,michelle.scott@outlook.com,(555) 012-3458
L031,Andrew Green,andrew.green@gmail.com,(555) 123-4570
L032,Lisa Adams,lisa.adams@yahoo.com,(555) 234-5681
L033,Kenneth Baker,kenneth.baker@hotmail.com,(555) 345-6782
L034,Donna Nelson,donna.nelson@company.com,(555) 456-7893
L035,Steven Carter,steven.carter@outlook.com,(555) 567-8904
L036,Carol Mitchell,carol.mitchell@gmail.com,(555) 678-9015
L037,Paul Roberts,paul.roberts@yahoo.com,(555) 789-0126
L038,Sharon Turner,sharon.turner@hotmail.com,(555) 890-1237
L039,Mark Phillips,mark.phillips@company.com,(555) 901-2348
L040,Barbara Campbell,barbara.campbell@outlook.com,(555) 012-3459
L041,Donald Parker,donald.parker@gmail.com,(555) 123-4571
L042,Betty Evans,betty.evans@yahoo.com,(555) 234-5682
L043,George Edwards,george.edwards@hotmail.com,(555) 345-6783
