EMP10001Alice Johnson         2021-04-01000001850.00D001
EMP10002Robert Smith          2021-04-01000002100.00D002
EMP10003Maria Garcia          2021-04-01000002350.00D003
EMP10004James Wilson          2021-04-01000001950.00D001
EMP10005Patricia Brown        2021-04-01000002600.00D004
EMP10006Michael Davis         2021-04-01000002200.00D002
EMP10007Linda Martinez        2021-04-01000002450.00D005
EMP10008David Anderson        2021-04-01000001800.00D001
EMP10009Barbara Thomas        2021-04-01000002750.00D003
EMP10010William Taylor        2021-04-01000002300.00D006
EMP10011Elizabeth Moore       2021-04-15000002500.00D002
EMP10012Richard Jackson       2021-04-15000002150.00D001
EMP10013Susan White           2021-04-15000002400.00D004
EMP10014Joseph Harris         2021-04-15000001900.00D003
EMP10015Jessica Martin        2021-04-15000002650.00D005
EMP10016Thomas Thompson       2021-04-15000002250.00D002
EMP10017Sarah Garcia          2021-04-15000002800.00D006
EMP10018Charles Robinson      2021-04-15000001950.00D001
EMP10019Nancy Clark           2021-04-15000002550.00D004
EMP10020Daniel Rodriguez      2021-04-15000002350.00D003
EMP10021Karen Lewis           2021-05-01000002700.00D002
EMP10022Matthew Lee           2021-05-01000002000.00D005
EMP10023Betty Walker          2021-05-01000002450.00D001
EMP10024Donald Hall           2021-05-01000002150.00D006
EMP10025Dorothy Allen         2021-05-01000002900.00D004
EMP10026Mark Young            2021-05-01000002250.00D003
EMP10027Lisa Hernandez        2021-05-01000002600.00D002
EMP10028Paul King             2021-05-01000001850.00D001
EMP10029Sandra Wright         2021-05-01000002500.00D005
EMP10030Steven Lopez          2021-05-01000002350.00D006
EMP10031Ashley Hill           2021-05-15000002750.00D004
EMP10032Kenneth Scott         2021-05-15000002100.00D002
EMP10033Donna Green           2021-05-15000002400.00D003
EMP10034Brian Adams           2021-05-15000001950.00D001
EMP10035Carol Baker           2021-05-15000002650.00D005
EMP10036Edward Gonzalez       2021-05-15000002200.00D006
EMP10037Michelle Nelson       2021-05-15000002850.00D004
EMP10038Ronald Carter         2021-05-15000002050.00D002
EMP10039Emily Mitchell        2021-05-15000002500.00D003
EMP10040Kevin Perez           2021-05-15000002300.00D001
EMP10041Laura Roberts         2021-06-01000002700.00D005
EMP10042Jason Turner          2021-06-01000001900.00D006
EMP10043Deborah Phillips      2021-06-01000002550.00D004
EMP10044Ryan Campbell         2021-06-01000002200.00D002
EMP10045Stephanie Parker      2021-06-01000002950.00D003
EMP10046Jacob Evans           2021-06-01000002150.00D001
EMP10047Cynthia Edwards       2021-06-01000002600.00D005
EMP10048Gary Collins          2021-06-01000001850.00D006
EMP10049Angela Stewart        2021-06-01000002450.00D004
EMP10050Nicholas Sanchez     2021-06-01000002350.00D002
EMP10051Pamela Morris         2021-06-15000002800.00D003
EMP10052Eric Rogers           2021-06-15000002000.00D001
EMP10053Christine Reed        2021-06-15000002500.00D005
EMP10054Jonathan Cook         2021-06-15000002250.00D006
EMP10055Samantha Morgan       2021-06-15000003100.00D004
EMP10056Aaron Bell            2021-06-15000002150.00D002
EMP10057Debra Murphy          2021-06-15000002650.00D003
EMP10058Adam Bailey           2021-06-15000001950.00D001
EMP10059Kathleen Rivera       2021-06-15000002550.00D005
EMP10060Kyle Cooper           2021-06-15000002400.00D006
EMP10061Janet Richardson     2021-04-08000002900.00D004
EMP10062Bryan Howard          2021-04-08000002100.00D002
EMP10063Victoria Ward         2021-04-08000002700.00D003
EMP10064Nathan Torres         2021-04-08000001850.00D001
EMP10065Christina Peterson    2021-04-22000003200.00D005
EMP10066Jeremy Gray           2021-04-22000002250.00D006
EMP10067Heather Ramirez       2021-04-22000002800.00D004
EMP10068Benjamin James        2021-04-22000002050.00D002
EMP10069Nicole Watson         2021-05-08000002600.00D003
EMP10070Samuel Brooks         2021-05-08000002150.00D001
EMP10071Teresa Kelly          2021-05-22000003000.00D005
EMP10072Justin Sanders        2021-05-22000002300.00D006
EMP10073Evelyn Price          2021-05-22000002750.00D004
EMP10074Austin Bennett        2021-05-22000001950.00D002
EMP10075Cheryl Wood           2021-06-08000002850.00D003
EMP10076Brandon Barnes        2021-06-08000002200.00D001
EMP10077Megan Ross            2021-06-22000003300.00D005
EMP10078Jordan Henderson     2021-06-22000002400.00D006
EMP10079Julia Coleman         2021-06-22000002950.00D004
EMP10080Tyler Jenkins         2021-06-22000002100.00D002
EMP10081Rachel Perry          2021-04-05000002700.00D003
EMP10082Dylan Powell          2021-04-19000001900.00D001
EMP10083Melissa Long          2021-05-05000003150.00D005
EMP10084Christian Patterson   2021-05-19000002350.00D006
EMP10085Amy Hughes            2021-06-05000002800.00D004
EMP10086Alexander Flores      2021-06-19000002150.00D002
EMP10087Julie Washington      2021-04-12000002650.00D003
EMP10088Gabriel Butler        2021-04-26000006000.00D001
EMP10089Hannah Foster         2021-05-12000002950.00D005
EMP10090Sean Simmons          2021-05-26000002500.00D006
