transfer_id,date,amount,account_number,routing_number,fee_flat,tax_rate
ACH001,2024-01-15,1250.00,1234567890,021000021,2.50,0.065
ACH002,2024-01-15,3500.50,2345678901,011401533,3.00,0.0825
ACH003,2024-01-15,750.25,3456789012,026009593,1.50,0.0
ACH004,2024-01-16,15000.00,4567890123,121000248,3.00,0.065
ACH005,2024-01-16,890.75,5678901234,053000219,2.00,0.0825
ACH006,2024-01-17,4200.00,6789012345,063100277,2.50,0.065
ACH007,2024-01-17,125.50,7890123456,011000015,1.50,0.0
ACH008,2024-01-18,8750.00,8901234567,122105155,3.00,0.0825
ACH009,2024-01-18,2100.00,9012345678,071000013,2.00,0.065
ACH010,2024-01-19,550.00,1023456789,091000019,1.50,0.0
ACH011,2024-01-19,12500.00,1134567890,101000019,3.00,0.065
ACH012,2024-01-20,3250.75,1245678901,111000025,2.50,0.0825
ACH013,2024-01-20,675.00,1356789012,121000358,2.00,0.0
ACH014,2024-01-21,9800.00,1467890123,031201467,3.00,0.065
ACH015,2024-01-21,1450.50,1578901234,041000124,2.00,0.0825
ACH016,2024-01-22,5600.00,1689012345,051000017,2.50,0.065
ACH017,2024-01-22,225.00,1790123456,061092387,1.50,0.0
ACH018,2024-01-23,18500.00,1801234567,071921891,3.00,0.0825
ACH019,2024-01-23,3100.00,1912345678,081000210,2.50,0.065
ACH020,2024-01-24,425.75,2023456789,091905114,1.50,0.0
ACH021,2024-01-24,7200.00,2134567890,101089742,3.00,0.065
ACH022,2024-01-25,1875.50,2245678901,111017694,2.00,0.0825
ACH023,2024-01-25,950.00,2356789012,121140399,2.00,0.0
ACH024,2024-01-26,14750.00,2467890123,021200339,3.00,0.065
ACH025,2024-01-26,2300.25,2578901234,031100209,2.50,0.0825
ACH026,2024-01-27,6400.00,2689012345,041200555,2.50,0.065
ACH027,2024-01-27,175.00,2790123456,051402372,1.50,0.0
ACH028,2024-01-28,11200.00,2801234567,061120084,3.00,0.0825
ACH029,2024-01-28,4100.00,2912345678,071025661,2.50,0.065
ACH030,2024-01-29,825.50,3023456789,081501065,2.00,0.0
ACH031,2024-01-29,16800.00,3134567890,091301024,3.00,0.065
ACH032,2024-01-30,2950.00,3245678901,101200453,2.50,0.0825
ACH033,2024-01-30,525.75,3356789012,111900659,1.50,0.0
ACH034,2024-01-31,8900.00,3467890123,121042882,3.00,0.065
ACH035,2024-02-01,1675.00,3578901234,021300077,2.00,0.0825
ACH036,2024-02-01,5100.00,3689012345,031100157,2.50,0.065
ACH037,2024-02-02,285.50,3790123456,041001039,1.50,0.0
ACH038,2024-02-02,19500.00,3801234567,051000020,3.00,0.0825
ACH039,2024-02-03,3700.00,3912345678,061000104,2.50,0.065
ACH040,2024-02-03,625.00,4023456789,071101307,2.00,0.0
ACH041,2024-02-04,13400.00,4134567890,081000032,3.00,0.065
ACH042,2024-02-04,2150.75,4245678901,091000022,2.00,0.0825
ACH043,2024-02-05,7800.00,4356789012,101000048,2.50,0.065
ACH044,2024-02-05,350.00,4467890123,111000038,1.50,0.0
ACH045,2024-02-06,24500.00,4578901234,121000374,3.00,0.0825
ACH046,2024-02-06,4500.00,4689012345,021001088,2.50,0.065
ACH047,2024-02-07,975.50,4790123456,031302971,2.00,0.0
ACH048,2024-02-07,10500.00,4801234567,041000014,3.00,0.065
ACH049,2024-02-08,1825.00,4912345678,051000033,2.00,0.0825
ACH050,2024-02-08,6200.00,5023456789,061000227,2.50,0.065
ACH051,2024-02-09,450.75,5134567890,071000039,1.50,0.0
ACH052,2024-02-09,21000.00,5245678901,081000045,3.00,0.0825
ACH053,2024-02-10,3900.00,5356789012,091000028,2.50,0.065
ACH054,2024-02-10,725.00,5467890123,101000054,2.00,0.0
ACH055,2024-02-11,15600.00,5578901234,111000041,3.00,0.065
ACH056,2024-02-11,2450.50,5689012345,121000247,2.00,0.0825
ACH057,2024-02-12,8100.00,5790123456,021000322,2.50,0.065
ACH058,2024-02-12,575.00,5801234567,031100649,1.50,0.0
ACH059,2024-02-13,12800.00,5912345678,041000153,3.00,0.0825
ACH060,2024-02-13,3300.00,6023456789,051000017,2.50,0.065
ACH061,2024-02-14,850.25,6134567890,061092387,2.00,0.0
ACH062,2024-02-14,18000.00,6245678901,071025661,3.00,0.065
ACH063,2024-02-15,2750.00,6356789012,081000210,2.50,0.0825
ACH064,2024-02-15,425.50,6467890123,091301024,1.50,0.0
ACH065,2024-02-16,9400.00,6578901234,101089742,3.00,0.065
ACH066,2024-02-16,1950.75,6689012345,111017694,2.00,0.0825
ACH067,2024-02-17,5800.00,6790123456,121140399,2.50,0.065
ACH068,2024-02-17,325.00,6801234567,021200339,1.50,0.0
ACH069,2024-02-18,22500.00,6912345678,031100209,3.00,0.0825
ACH070,2024-02-18,4200.00,7023456789,041200555,2.50,0.065
ACH071,2024-02-19,925.50,7134567890,051402372,2.00,0.0
ACH072,2024-02-19,11900.00,7245678901,061120084,3.00,0.065
ACH073,2024-02-20,2100.00,7356789012,071025661,2.00,0.0825
ACH074,2024-02-20,6800.00,7467890123,081501065,2.50,0.065
ACH075,2024-02-21,475.25,7578901234,091301024,1.50,0.0
ACH076,2024-02-21,17500.00,7689012345,101200453,3.00,0.0825
ACH077,2024-02-22,3500.00,7790123456,111900659,2.50,0.065
ACH078,2024-02-22,775.00,7801234567,121042882,2.00,0.0
ACH079,2024-02-23,14200.00,7912345678,021300077,3.00,0.065
ACH080,2024-02-23,2350.50,8023456789,031100157,2.00,0.0825
ACH081,2024-02-24,7500.00,8134567890,041001039,2.50,0.065
ACH082,2024-02-24,525.00,8245678901,051000020,1.50,0.0
ACH083,2024-02-25,20000.00,8356789012,061000104,3.00,0.0825
ACH084,2024-02-25,4000.00,8467890123,071101307,2.50,0.065
ACH085,2024-02-26,875.75,8578901234,081000032,2.00,0.0
ACH086,2024-02-26,13000.00,8689012345,091000022,3.00,0.065
ACH087,2024-02-27,2550.00,8790123456,101000048,2.00,0.0825
ACH088,2024-02-27,6600.00,8801234567,111000038,2.50,0.065
ACH089,2024-02-28,395.50,8912345678,121000374,1.50,0.0
ACH090,2024-02-28,23000.00,9023456789,021001088,3.00,0.0825
ACH091,2024-02-29,4300.00,9134567890,031302971,2.50,0.065
ACH092,2024-02-29,825.00,9245678901,041000014,2.00,0.0
ACH093,2024-03-01,10800.00,9356789012,051000033,3.00,0.065
ACH094,2024-03-01,1925.25,9467890123,061000227,2.00,0.0825
