CustomerID,Name,Email,Phone,Address,City,State,ZipCode,MembershipLevel,JoinDate
C001,John Smith,john.smith@email.com,(555)234-5678,123 Main Street Apt 4B,Springfield,IL,62701,Gold,2021-05-12
C002,Emily Johnson,emily.johnson@email.com,(555)345-6789,456 Oak Avenue,Portland,OR,97201,Silver,2020-03-15
C003,Michael Brown,michael.brown@email.com,(555)456-7890,789 Elm Street Suite 200,Austin,TX,78701,Platinum,2022-07-23
C004,Sarah Davis,sarah.davis@email.com,(555)567-8901,321 Pine Road,Seattle,WA,98101,Bronze,2021-11-08
C005,David Wilson,david.wilson@email.com,(555)678-9012,654 Maple Drive Unit 5,Denver,CO,80201,Gold,2020-09-14
C006,Jennifer Martinez,jennifer.martinez@email.com,(555)789-0123,987 Cedar Lane,Phoenix,AZ,85001,Silver,2022-01-20
C007,James Anderson,james.anderson@email.com,(555)890-1234,147 Birch Boulevard,Boston,MA,02101,Gold,2021-04-17
C008,Lisa Taylor,lisa.taylor@email.com,(555)901-2345,258 Spruce Court,Miami,FL,33101,Platinum,2020-12-05
C009,Robert Thomas,robert.thomas@email.com,(555)012-3456,369 Willow Way,Chicago,IL,60601,Bronze,2022-08-30
C010,Mary Jackson,mary.jackson@email.com,(555)123-4567,741 Ash Street Apt 12,Atlanta,GA,30301,Silver,2021-02-11
C011,Christopher White,christopher.white@email.com,(555)234-6789,852 Hickory Place,Dallas,TX,75201,Gold,2020-06-25
C012,Patricia Harris,patricia.harris@email.com,(555)345-7890,963 Walnut Avenue,San Diego,CA,92101,Platinum,2022-03-14
C013,Daniel Martin,daniel.martin@email.com,(555)456-8901,159 Chestnut Road,Nashville,TN,37201,Bronze,2021-09-22
C014,Linda Thompson,linda.thompson@email.com,(555)567-9012,357 Sycamore Drive,Minneapolis,MN,55401,Silver,2020-11-30
C015,Matthew Garcia,matthew.garcia@email.com,(555)678-0123,486 Magnolia Lane,Las Vegas,NV,89101,Gold,2022-05-18
C016,Barbara Martinez,barbara.martinez@email.com,(555)789-1234,753 Poplar Street Unit 8,Orlando,FL,32801,Platinum,2021-07-09
C017,Paul Robinson,paul.robinson@email.com,(555)890-2345,951 Dogwood Court,Charlotte,NC,28201,Bronze,2020-02-28
C018,Nancy Clark,nancy.clark@email.com,(555)901-3456,135 Redwood Boulevard,San Antonio,TX,78201,Silver,2022-10-06
C019,Mark Rodriguez,mark.rodriguez@email.com,(555)012-4567,246 Fir Way Apt 3A,Philadelphia,PA,19101,Gold,2021-12-15
C020,Karen Lewis,karen.lewis@email.com,(555)123-5678,864 Beech Avenue,Detroit,MI,48201,Platinum,2020-08-20
C021,Steven Lee,steven.lee@email.com,(555)234-7890,975 Hemlock Place,Houston,TX,77001,Bronze,2022-02-03
C022,Betty Walker,betty.walker@email.com,(555)345-8901,531 Juniper Street,Columbus,OH,43201,Silver,2021-06-27
C023,Edward Hall,edward.hall@email.com,(555)456-9012,642 Cypress Road,Indianapolis,IN,46201,Gold,2020-04-12
C024,Susan Allen,susan.allen@email.com,(555)567-0123,753 Laurel Drive,San Francisco,CA,94101,Platinum,2022-09-19
C025,Brian Young,brian.young@email.com,(555)678-1234,864 Cottonwood Lane,Jacksonville,FL,32201,Bronze,2021-03-08
C026,Dorothy Hernandez,dorothy.hernandez@email.com,(555)789-2345,975 Alder Court Suite 10,Fort Worth,TX,76101,Silver,2020-07-16
C027,Joseph King,joseph.king@email.com,(555)890-3456,147 Sassafras Boulevard,San Jose,CA,95101,Gold,2022-11-24
C028,Margaret Wright,margaret.wright@email.com,(555)901-4567,258 Locust Way,Memphis,TN,38101,Platinum,2021-08-13
C029,Charles Lopez,charles.lopez@email.com,(555)012-5678,369 Mahogany Avenue Apt 7C,Baltimore,MD,21201,Bronze,2020-01-05
C030,Sandra Hill,sandra.hill@email.com,(555)123-6789,741 Pecan Place,Milwaukee,WI,53201,Silver,2022-04-29
C031,Thomas Scott,thomas.scott@email.com,(555)234-8901,852 Olive Street,Albuquerque,NM,87101,Gold,2021-10-11
C032,Donna Green,donna.green@email.com,(555)345-9012,963 Cherry Road,Tucson,AZ,85701,Platinum,2020-05-22
C033,Jason Adams,jason.adams@email.com,(555)456-0123,159 Acacia Drive,Fresno,CA,93701,Bronze,2022-12-07
C034,Carol Baker,carol.baker@email.com,(555)567-1234,357 Ebony Lane,Sacramento,CA,95801,Silver,2021-01-19
C035,Kevin Gonzalez,kevin.gonzalez@email.com,(555)678-2345,486 Rosewood Court,Kansas City,MO,64101,Gold,2020-10-26
C036,Michelle Nelson,michelle.nelson@email.com,(555)789-3456,753 Teak Boulevard,Mesa,AZ,85201,Platinum,2022-06-14
C037,Ryan Carter,ryan.carter@email.com,(555)890-4567,951 Bamboo Way Unit 6,Virginia Beach,VA,23451,Bronze,2021-11-28
C038,Laura Mitchell,laura.mitchell@email.com,(555)901-5678,135 Palm Avenue,Atlanta,GA,30302,Silver,2020-03-09
C039,Gary Perez,gary.perez@email.com,(555)012-6789,246 Sequoia Place,Raleigh,NC,27601,Gold,2022-08-21
C040,Sharon Roberts,sharon.roberts@email.com,(555)123-7890,864 Ironwood Street,Omaha,NE,68101,Platinum,2021-04-04
C041,Nicholas Turner,nicholas.turner@email.com,(555)234-9012,975 Cedarwood Road,Colorado Springs,CO,80901,Bronze,2020-12-18
C042,Cynthia Phillips,cynthia.phillips@email.com,(555)345-0123,531 Pinewood Drive Apt 9B,Long Beach,CA,90801,Silver,2022-07-02
C043,Eric Campbell,eric.campbell@email.com,(555)456-1234,642 Maplewood Lane,Oakland,CA,94601,Gold,2021-02-25
C044,Kathleen Parker,kathleen.parker@email.com,(555)567-2345,753 Elmwood Court,Minneapolis,MN,55402,Platinum,2020-09-10
C045,Jacob Evans,jacob.evans@email.com,(555)678-3456,864 Oakwood Boulevard,Tulsa,OK,74101,Bronze,2022-03-28
C046,Amy Edwards,amy.edwards@email.com,(555)789-4567,975 Ashwood Way,Wichita,KS,67201,Silver,2021-12-06
C047,Raymond Collins,raymond.collins@email.com,(555)890-5678,147 Birchwood Avenue Suite 15,New Orleans,LA,70112,Gold,2020-06-19
C048,Angela Stewart,angela.stewart@email.com,(555)901-6789,258 Firwood Place,Cleveland,OH,44101,Platinum,2022-01-12
C049,Larry Sanchez,larry.sanchez@email.com,(555)012-7890,369 Hickorywood Street,Tampa,FL,33601,Bronze,2021-09-05
C050,Stephanie Morris,stephanie.morris@email.com,(555)123-8901,741 Willowwood Road,Bakersfield,CA,93301,Silver,2020-04-23
C051,Brandon Rogers,brandon.rogers@email.com,(555)234-0123,852 Cedarbrook Drive,Aurora,CO,80010,Gold,2022-11-15
C052,Rebecca Reed,rebecca.reed@email.com,(555)345-1234,963 Maplecrest Lane Unit 2D,Anaheim,CA,92801,Platinum,2021-07-28
C053,Frank Cook,frank.cook@email.com,(555)456-2345,159 Oakridge Court,Santa Ana,CA,92701,Bronze,2020-02-11
