LogID,DateTime,Operation,SystemID,KeyIdentifier,KeyData,EncodingType,Status
1,2024-01-15 08:23:45,KEY_BACKUP,WKS-1234,BLK-00123,MTIzNDU2LTIzNDU2Ny0zNDU2NzgtNDU2Nzg5LTU2Nzg5MC02Nzg5MDEtNzg5MDEyLTg5MDEyMw==,Base64,COMPLETED
2,2024-01-15 09:14:22,KEY_ACCESS,LAPTOP-5678,BLK-00124,234567345678456789567890678901789012890123901234,Plain,COMPLETED
3,2024-01-15 10:05:33,KEY_ROTATION,WKS-2345,BLK-00125,333435-444546-555657-666768-777879-888980-999091-000102,Dash-Separated,COMPLETED
4,2024-01-15 11:30:12,AUDIT_LOG,LAPTOP-3456,BLK-00126,343536 454647 565758 676869 787970 898081 909192 010203,Space-Separated,COMPLETED
5,2024-01-15 12:45:01,KEY_BACKUP,WKS-4567,BID-00127,343536454647565758676869787971898081909192010203,Plain,FAILED
6,2024-01-15 13:22:18,KEY_RESTORE,LAPTOP-5679,BLK-00128,NDU0NjQ3LTU2NTc1OC02NzY4NjktNzg3OTcwLTg5ODA4MS05MDkxOTItMDEwMjAzLTExMjExNA==,Base64,COMPLETED
7,2024-01-15 14:10:45,KEY_ACCESS,WKS-6789,BLK-00129,343536454647565758676869787970898081909192,Plain,PARTIAL
8,2024-01-16 08:05:22,KEY_BACKUP,LAPTOP-7890,BLK-00130,353637363738485960697071828384949596060718192031,Hex,COMPLETED
9,2024-01-16 09:15:44,KEY_ROTATION,WKS-8901,BLK-00131,MTExMTExLTIyMjIyMi0zMzMzMzMtNDQ0NDQ0LTU1NTU1NS02NjY2NjYtNzc3Nzc3LTg4ODg4OA==,Base64,CORRUPTED
10,2024-01-16 10:25:03,KEY_ACCESS,LAPTOP-9012,BLK-00132,565758-676869-787970-898081-909192-010203-112214-223325,Dash-Separated,COMPLETED
11,2024-01-16 11:33:27,AUDIT_LOG,WKS-0123,BLK-00133,363738 484960 697071 828384 949596 060718 192031 314253,Space-Separated,COMPLETED
12,2024-01-16 12:44:55,KEY_BACKUP,LAPTOP-1235,BLK-00134,676869787970898081909192010203112214223325334436,Plain,COMPLETED
13,2024-01-16 13:52:18,KEY_RESTORE,WKS-2346,BLK-00135,363738484960697071828384949597060718192031314253,Plain,FAILED
14,2024-01-16 14:22:39,KEY_ACCESS,LAPTOP-3457,BLK-00136,NTY1NzU4LTY3Njg2OS03ODc5NzAtODk4MDgxLTkwOTE5Mi0wMTAyMDMtMTEyMjE0LTIyMzMyNQ==,Base64,COMPLETED
15,2024-01-17 08:11:22,KEY_ROTATION,WKS-4568,BLK-00137,787970-898081-909192-010203-112214-223325-334436-445547,Dash-Separated,COMPLETED
16,2024-01-17 09:20:44,AUDIT_LOG,LAPTOP-5680,BLK-00138,373839 495061 707172 838485 959697 071819 203142 425364,Space-Separated,COMPLETED
17,2024-01-17 10:32:15,KEY_BACKUP,WKS-6790,BLK-00139,898081909192010203112214223325334436445547556658,Plain,COMPLETED
18,2024-01-17 11:41:33,KEY_ACCESS,LAPTOP-7891,BLK-00140,383940404142535455666778899011122334455667788990,Hex,CORRUPTED
19,2024-01-17 12:55:28,KEY_RESTORE,WKS-8902,BLK-00141,NDU0NjQ3LTU2NTc1OC02NzY4NjktNzg3OTcwLTg5ODA4MS05MDkxOTItMDEwMjAzLTExMjIxNA==,Base64,COMPLETED
20,2024-01-17 13:18:42,KEY_ROTATION,LAPTOP-9013,BLK-00142,909192-010203-112214-223325-334436-445547-556658-667769,Dash-Separated,COMPLETED
21,2024-01-17 14:27:05,AUDIT_LOG,WKS-0124,BLK-00143,484950 606172 727384 848596 960708 081920 203142 314254,Space-Separated,COMPLETED
22,2024-01-18 08:33:51,KEY_BACKUP,LAPTOP-1236,BLK-00144,010203112214223325334436445547556658667769778870,Plain,COMPLETED
23,2024-01-18 09:42:19,KEY_ACCESS,WKS-2347,BLK-00145,MTEyMjE0LTIyMzMyNS0zMzQ0MzYtNDQ1NTQ3LTU1NjY1OC02Njc3NjktNzc4ODcwLTg4OTk4MQ==,Base64,COMPLETED
24,2024-01-18 10:51:37,KEY_RESTORE,LAPTOP-3458,BLK-00146,112214-223325-334436-445547-556658-667769-778870-889981,Dash-Separated,COMPLETED
25,2024-01-18 11:22:44,AUDIT_LOG,WKS-4569,BLK-00147,495061 616273 738485 859697 970809 092031 314253 425365,Space-Separated,COMPLETED
26,2024-01-18 12:33:29,KEY_BACKUP,LAPTOP-5681,BLK-00148,122214223325334436445547556658667769778870889981,Plain,PARTIAL
