AuditTime,EventID,User,Action,ObjectType,ObjectData,Result
2024-01-15 08:23:14.123,4663,CORP\admin.johnson,Read,BitLocker Recovery Key,48656C6C6F20576F726C64,Success
2024-01-15 08:24:45.456,5379,CORP\service.account,Key Retrieval,BitLocker Recovery Key,313233343536323334353637333435363738343536373839353637383930363738393031373839303132383930313233,Success
2024-01-15 08:26:17.789,4616,CORP\helpdesk.user,Access Request,Volume Key,Unrelated data for volume access,Success
2024-01-15 08:28:33.234,4656,CORP\admin.smith,Read,File Object,Standard file access operation,Success
2024-01-15 08:30:12.567,5380,CORP\backup.service,Backup,BitLocker Recovery Key,110201 220302 330403 440504 550605 660706 770807 880908,Success
2024-01-15 08:32:45.890,4663,CORP\user.thompson,Read,Registry Key,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion,Success
2024-01-15 08:35:19.123,5379,CORP\admin.williams,Key Retrieval,BitLocker Recovery Key,323334353637333435363738343536373839343536373839303536373839303132363738393031323337383930313233343738393031323334353839303132333435,Success
2024-01-15 08:37:52.456,4616,CORP\tech.support,Access Request,TPM,TPM ownership request,Failure
2024-01-15 08:40:28.789,4663,CORP\system.admin,Write,BitLocker Recovery Key,3535353535333333333333343434343434343535353535333333333333343434343434343535353535333333333333,Access Denied
2024-01-15 08:43:05.012,5380,CORP\backup.agent,Backup,Encryption Key,Backup operation for system encryption,Success
2024-01-15 08:45:41.345,4656,CORP\developer.jones,Read,Application Log,Application access event,Success
2024-01-15 08:48:17.678,5379,CORP\security.admin,Key Retrieval,BitLocker Recovery Key,343536373839343536373839303435363738393031323435363738393031323334,Success
2024-01-15 08:50:53.901,4663,CORP\admin.davis,Read,System File,C:\Windows\System32\config\SYSTEM,Success
2024-01-15 08:53:30.234,4616,CORP\operator.wilson,Access Request,BitLocker Recovery Key,Partial key data corrupted,Failure
2024-01-15 08:56:06.567,5380,CORP\backup.service,Backup,Volume Key,Volume shadow copy backup,Success
2024-01-15 08:58:42.890,4663,CORP\user.martinez,Read,Network Share,\\SERVER\SharedDocs access,Success
2024-01-15 09:01:19.123,5379,CORP\admin.anderson,Key Retrieval,BitLocker Recovery Key,445566778899001122334455667788990011223344556677889900112233445566,Success
2024-01-15 09:03:55.456,4656,CORP\service.account,Write,Registry Value,Registry modification event,Success
2024-01-15 09:06:31.789,4663,CORP\tech.lead,Read,Certificate,Certificate store access,Success
2024-01-15 09:09:08.012,5380,CORP\backup.service,Backup,BitLocker Recovery Key,556677-667788-778899-889900-990011-001122-112233-223344,Success
2024-01-15 09:11:44.345,4616,CORP\helpdesk.admin,Access Request,TPM,TPM key request,Success
2024-01-15 09:14:20.678,4663,CORP\user.taylor,Read,Active Directory,AD object access,Success
2024-01-15 09:16:57.901,5379,CORP\security.ops,Key Retrieval,BitLocker Recovery Key,363738393031343536373839303132333435363738393031323334333435363738,Success
2024-01-15 09:19:34.234,4656,CORP\admin.thomas,Read,Security Log,Security event log access,Success
2024-01-15 09:22:10.567,4663,CORP\developer.white,Write,Application Data,Application configuration update,Success
2024-01-15 09:24:46.890,5380,CORP\backup.agent,Backup,System State,System state backup operation,Success
2024-01-15 09:27:23.123,4616,CORP\operator.harris,Access Request,Encryption Key,Encryption key access denied,Access Denied
2024-01-15 09:30:00.456,5379,CORP\admin.martin,Key Retrieval,BitLocker Recovery Key,667788 778899 889900 990011 001122 112233 223344 334455,Success
2024-01-15 09:32:36.789,4663,CORP\user.garcia,Read,File Share,Network file share access,Success
2024-01-15 09:35:13.012,4656,CORP\service.runner,Write,Event Log,Event log write operation,Success
2024-01-15 09:37:49.345,5380,CORP\backup.service,Backup,BitLocker Recovery Key,778899889900990011001122112233223344334455445566,Success
2024-01-15 09:40:25.678,4616,CORP\tech.admin,Access Request,Volume Key,Volume key access request,Success
2024-01-15 09:43:02.901,4663,CORP\admin.rodriguez,Read,BitLocker Recovery Key,Partial:889900990011001122,Failure
2024-01-15 09:45:39.234,5379,CORP\security.analyst,Key Retrieval,Encryption Key,Standard encryption key retrieval,Success
2024-01-15 09:48:15.567,4656,CORP\user.lopez,Read,Registry Hive,Registry hive access,Success
2024-01-15 09:50:51.890,4663,CORP\developer.lee,Write,Application File,Application binary update,Success
2024-01-15 09:53:28.123,5380,CORP\backup.service,Backup,TPM,TPM backup operation,Success
2024-01-15 09:56:04.456,4616,CORP\operator.walker,Access Request,BitLocker Recovery Key,Invalid format data,Failure
2024-01-15 09:58:40.789,5379,CORP\admin.hall,Key Retrieval,BitLocker Recovery Key,383930313233343536373839303132333433343536373839303132333435333435,Success
2024-01-15 10:01:17.012,4663,CORP\user.allen,Read,System Registry,System registry query,Success
2024-01-15 10:03:53.345,4656,CORP\service.monitor,Read,Performance Counter,Performance monitoring,Success
2024-01-15 10:06:29.678,5380,CORP\backup.agent,Backup,Volume Key,Volume encryption backup,Success
2024-01-15 10:09:06.901,4616,CORP\tech.support,Access Request,Recovery Key,Recovery key request,Success
2024-01-15 10:11:43.234,4663,CORP\admin.young,Read,Certificate Store,Certificate enumeration,Success
2024-01-15 10:14:19.567,5379,CORP\security.admin,Key Retrieval,BitLocker Recovery Key,990011001122112233223344334455445566556677667788,Success
2024-01-15 10:16:55.890,4656,CORP\user.hernandez,Write,User Profile,Profile data update,Success
2024-01-15 10:19:32.123,4663,CORP\developer.king,Read,Source Code,Code repository access,Success
2024-01-15 10:22:08.456,5380,CORP\backup.service,Backup,BitLocker Recovery Key,001122-112233-223344-334455-445566-556677-667788-778899,Success
2024-01-15 10:24:44.789,4616,CORP\operator.wright,Access Request,TPM,TPM attestation request,Success
2024-01-15 10:27:21.012,4663,CORP\admin.scott,Read,Group Policy,GPO access event,Success
2024-01-15 10:30:57.345,5379,CORP\security.ops,Key Retrieval,Encryption Key,Key management operation,Success
2024-01-15 10:32:33.678,4656,CORP\user.green,Read,Folder Access,Directory enumeration,Success
2024-01-15 10:35:09.901,4663,CORP\service.account,Write,Configuration File,Config file modification,Success
2024-01-15 10:37:46.234,5380,CORP\backup.agent,Backup,System Backup,Full system backup,Success
2024-01-15 10:40:22.567,4616,CORP\tech.lead,Access Request,BitLocker Recovery Key,Corrupted data block,Failure
2024-01-15 10:42:58.890,5379,CORP\admin.baker,Key Retrieval,BitLocker Recovery Key,112233223344334455445566556677667788778899889900,Success
2024-01-15 10:45:35.123,4663,CORP\user.adams,Read,Network Resource,Network resource access,Success
2024-01-15 10:48:11.456,4656,CORP\developer.nelson,Write,Database Record,Database write operation,Success
2024-01-15 10:50:47.789,5380,CORP\backup.service,Backup,Encryption Key,Encryption key backup,Success
2024-01-15 10:53:24.012,4616,CORP\operator.carter,Access Request,Volume Key,Volume key retrieval,Success
2024-01-15 10:56:00.345,4663,CORP\admin.mitchell,Read,Security Policy,Security policy query,Success
2024-01-15 10:58:36.678,5379,CORP\security.analyst,Key Retrieval,BitLocker Recovery Key,223344334455445566556677667788778899889900990011,Success
2024-01-15 11:01:13.901,4656,CORP\user.perez,Read,Application Config,Configuration read,Success
2024-01-15 11:03:49.234,4663,CORP\service.runner,Write,Log File,Log rotation operation,Success
2024-01-15 11:06:25.567,5380,CORP\backup.service,Backup,TPM,TPM state backup,Success
2024-01-15 11:09:02.890,4616,CORP\tech.admin,Access Request,Recovery Key,Key access request processed,Success
2024-01-15 11:11:38.123,5379,CORP\admin.roberts,Key Retrieval,BitLocker Recovery Key,334455445566556677667788778899889900990011001122,Success
2024-01-15 11:14:14.456,4663,CORP\user.turner,Read,Shared Folder,File share enumeration,Success
2024-01-15 11:16:50.789,4656,CORP\developer.phillips,Write,Source File,Code commit operation,Success
2024-01-15 11:19:27.012,5380,CORP\backup.agent,Backup,BitLocker Recovery Key,445566556677667788778899889900990011001122112233,Success
2024-01-15 11:22:03.345,4616,CORP\operator.campbell,Access Request,Encryption Key,Encryption key request,Success
2024-01-15 11:24:39.678,4663,CORP\admin.parker,Read,Audit Log,Audit log review,Success
