customer_id,customer_name,email,city
1001,John Smith Jr,john.smith@email.com,Boston
1002,Sarah Johnson,sarah.j@newemail.com,Los Angeles
1003,Michael Brown,michael.brown@email.com,Seattle
1004,Jennifer Williams,jennifer.williams@email.com,Phoenix
1005,Robert Jones,robert.jones@newmail.com,Philadelphia
1006,Linda Garcia,linda.garcia@email.com,Austin
1007,David Martinez,david.martinez@email.com,San Diego
1008,Mary Rodriguez,mary.rodriguez@updated.com,Dallas
1009,James Wilson,james.wilson@email.com,San Jose
1010,Patricia Anderson,patricia.anderson@email.com,Miami
1011,Christopher Taylor,chris.taylor@email.com,Denver
1012,Barbara Thomas,barbara.thomas@email.com,Portland
1013,Daniel Jackson,daniel.jackson@newemail.com,Atlanta
1014,Nancy White,nancy.white@email.com,Las Vegas
1015,Matthew Harris,matthew.harris@email.com,Detroit
1016,Karen Martin,karen.martin@updated.com,Nashville
1017,Steven Thompson,steven.thompson@email.com,Charlotte
1018,Betty Garcia Moore,betty.moore@email.com,San Francisco
1019,Edward Lee,edward.lee@email.com,Orlando
1020,Dorothy Walker,dorothy.walker@newdomain.com,Tampa
1021,George Hall,george.hall@email.com,New York
1022,Sandra Allen,sandra.allen@email.com,Chicago
1023,Kenneth Young,kenneth.young@email.com,Houston
1024,Donna King,donna.king@email.com,San Antonio
1025,Paul Wright,paul.wright@email.com,Columbus
1026,Carol Lopez,carol.lopez@email.com,Indianapolis
1027,Mark Hill,mark.hill@email.com,Jacksonville
1028,Lisa Scott,lisa.scott@email.com,Fort Worth
1029,Donald Green,donald.green@email.com,Charlotte
1030,Ashley Adams,ashley.adams@email.com,Seattle
1031,Brian Baker,brian.baker@email.com,Denver
1032,Michelle Nelson,michelle.nelson@email.com,Boston
1081,Emily Davis,emily.davis@email.com,Seattle
1082,Ryan Mitchell,ryan.mitchell@email.com,Raleigh
1083,Amanda Carter,amanda.carter@email.com,Austin
1084,Justin Perez,justin.perez@email.com,San Diego
1085,Rebecca Roberts,rebecca.roberts@email.com,Baltimore
1086,Kevin Turner,kevin.turner@email.com,Memphis
1087,Stephanie Phillips,stephanie.phillips@email.com,Milwaukee
1088,Brandon Campbell,brandon.campbell@email.com,Albuquerque
