Id,FirstName,LastName,Email,AccountId,Status,Title,Phone
003XX000004DGc1QAG,John,Smith,john.smith@acmecorp.com,001XX000003DGb2QAG,Active,VP of Sales,555-0100
003XX000004DGc2QAG,Sarah,Johnson,sarah.johnson@acmecorp.com,001XX000003DGb2QAG,Active,Director of Marketing,555-0101
003XX000004DGc3QAG,Michael,Williams,michael.williams@acmecorp.com,001XX000003DGb2QAG,Active,Chief Technology Officer,555-0102
003XX000004DGc4QAG,Emily,Brown,emily.brown@acmecorp.com,001XX000003DGb2QAG,Active,Product Manager,555-0103
003XX000004DGc5QAG,David,Jones,david.jones@acmecorp.com,001XX000003DGb2QAG,Inactive,Sales Associate,555-0104
003XX000004DGc6QAG,Jennifer,Garcia,jennifer.garcia@techstart.com,001XX000003DGb3QAG,Active,CEO,555-0105
003XX000004DGc7QAG,Robert,Martinez,robert.martinez@techstart.com,001XX000003DGb3QAG,Active,CFO,555-0106
003XX000004DGc8QAG,Lisa,Rodriguez,lisa.rodriguez@techstart.com,001XX000003DGb3QAG,Active,VP of Operations,555-0107
003XX000004DGc9QAG,James,Davis,james.davis@techstart.com,001XX000003DGb3QAG,Active,Engineering Manager,555-0108
003XX000004DGd0QAG,Mary,Miller,mary.miller@globalfinance.com,001XX000003DGb4QAG,Active,Senior Analyst,555-0109
003XX000004DGd1QAG,William,Wilson,william.wilson@globalfinance.com,001XX000003DGb4QAG,Active,Portfolio Manager,555-0110
003XX000004DGd2QAG,Patricia,Moore,patricia.moore@globalfinance.com,001XX000003DGb4QAG,Active,Director of Finance,555-0111
003XX000004DGd3QAG,Richard,Taylor,richard.taylor@globalfinance.com,001XX000003DGb4QAG,,Risk Analyst,555-0112
003XX000004DGd4QAG,Linda,Anderson,linda.anderson@healthsystems.com,001XX000003DGb5QAG,Active,Chief Medical Officer,555-0113
003XX000004DGd5QAG,Charles,Thomas,charles.thomas@healthsystems.com,001XX000003DGb5QAG,Active,Operations Director,555-0114
003XX000004DGd6QAG,Barbara,Jackson,barbara.jackson@healthsystems.com,001XX000003DGb5QAG,Active,Compliance Officer,555-0115
003XX000004DGd7QAG,Joseph,White,joseph.white@healthsystems.com,001XX000003DGb5QAG,Active,IT Manager,555-0116
003XX000004DGd8QAG,Susan,Harris,susan.harris@healthsystems.com,001XX000003DGb5QAG,Inactive,HR Manager,555-0117
003XX000004DGd9QAG,Thomas,Martin,thomas.martin@innovatech.com,001XX000003DGb6QAG,Active,VP of Engineering,555-0118
003XX000004DGe0QAG,Jessica,Thompson,jessica.thompson@innovatech.com,001XX000003DGb6QAG,Active,Product Lead,555-0119
003XX000004DGe1QAG,Daniel,Garcia,daniel.garcia@innovatech.com,001XX000003DGb6QAG,Active,Sales Director,555-0120
003XX000004DGe2QAG,Nancy,Martinez,nancy.martinez@retailco.com,001XX000003DGb7QAG,Inactive,Store Manager,555-0121
003XX000004DGe3QAG,Matthew,Robinson,matthew.robinson@retailco.com,001XX000003DGb7QAG,Active,Regional Director,555-0122
003XX000004DGe4QAG,Karen,Clark,karen.clark@megabank.com,001XX000003DGb8QAG,Active,Senior VP,555-0123
