customer_id,name,email,signup_date,region
1001,John Doe,john.doe@example.com,2024-02-15,north
1002,Alice Johnson,alice.j@example.com,2023-11-20,north
1003,Bob Smith,bob.smith@example.com,2024-04-10,north
1004,Carol White,carol.white@example.com,2024-01-05,north
1005,David Brown,david.brown@example.com,2023-09-12,north
1006,Emma Davis,emma.davis@example.com,2024-03-22,north
1007,Frank Miller,frank.miller@example.com,2024-05-18,north
1008,Grace Wilson,grace.wilson@example.com,2023-07-30,north
1009,Henry Moore,henry.moore@example.com,2024-02-28,north
1010,Iris Taylor,iris.taylor@example.com,2024-06-14,north
1011,Jack Anderson,jack.anderson@example.com,2023-10-05,north
1012,Karen Thomas,karen.thomas@example.com,2024-01-20,north
1013,Leo Jackson,leo.jackson@example.com,2024-04-03,north
1014,Maria Garcia,maria.garcia@example.com,2023-08-17,north
1015,Nathan Martinez,nathan.m@example.com,2024-07-09,north
1016,Olivia Rodriguez,olivia.r@example.com,2024-02-11,north
1017,Paul Hernandez,paul.h@example.com,2023-12-22,north
1018,Quinn Lopez,quinn.lopez@example.com,2024-03-15,north
1019,Rachel Gonzalez,rachel.g@example.com,2024-05-27,north
1020,Samuel Wilson,samuel.w@example.com,2023-06-08,north
1021,Tina Perez,tina.perez@example.com,2024-01-30,north
1022,Ulysses Moore,ulysses.moore@example.com,2024-04-22,north
1023,Violet Lee,violet.lee@example.com,2023-11-14,north
1024,Walter Harris,walter.harris@example.com,2024-06-05,north
1025,Xena Clark,xena.clark@example.com,2024-02-17,north
1026,Yuri Lewis,yuri.lewis@example.com,2023-09-28,north
1027,Zoe Walker,zoe.walker@example.com,2024-03-08,north
1028,Aaron Hall,aaron.hall@example.com,2024-05-12,north
1029,Betty Allen,betty.allen@example.com,2023-07-19,north
1030,Carlos Young,carlos.young@example.com,2024-01-14,north
1031,Diana King,diana.king@example.com,2024-04-26,north
1032,Edward Wright,edward.wright@example.com,2023-10-31,north
1033,Fiona Scott,fiona.scott@example.com,2024-06-20,north
1034,George Green,george.green@example.com,2024-02-05,north
1035,Hannah Adams,hannah.adams@example.com,2023-08-03,north
1036,Isaac Baker,isaac.baker@example.com,2024-03-30,north
1037,Julia Nelson,julia.nelson@example.com,2024-05-08,north
1038,Kevin Carter,kevin.carter@example.com,2023-12-11,north
1039,Laura Mitchell,laura.mitchell@example.com,2024-01-25,north
1040,Michael Roberts,michael.roberts@example.com,2024-04-16,north
1041,Nancy Turner,nancy.turner@example.com,2023-06-27,north
1042,Oscar Phillips,oscar.phillips@example.com,2024-07-02,north
1043,Patricia Campbell,patricia.c@example.com,2024-02-22,north
1044,Quentin Parker,quentin.p@example.com,2023-11-08,north
1045,Rebecca Evans,rebecca.evans@example.com,2024-03-19,north
1046,Steven Edwards,steven.e@example.com,2024-06-11,north
1047,Teresa Collins,teresa.collins@example.com,2023-09-15,north
1048,Ursula Stewart,ursula.s@example.com,2024-01-09,north
1049,Vincent Morris,vincent.morris@example.com,2024-05-23,north
1050,Wendy Rogers,wendy.rogers@example.com,2024-07-15,north
