Name,Address,Balance
John Smith,123 Main Street,1500.50
Mary Johnson,456 Oak Avenue,2300.75
Robert Williams,789 Pine Road,850.00
Sarah Davis,321 Elm Street,3200.25
Michael Brown,654 Maple Drive,1750.80
Jennifer Lee,987 Cedar Lane,2950.00
David Miller,147 Birch Boulevard,1200.50
Lisa Anderson,258 Walnut Way,4100.75
James Taylor,369 Spruce Circle,950.25
Patricia Moore,741 Hickory Court,2650.00
Christopher White,852 Ash Avenue,3450.50
Nancy Martin,963 Willow Street,1850.75
Daniel Garcia,159 Poplar Place,2150.00
Karen Martinez,357 Sycamore Drive,3800.25
Thomas Robinson,486 Magnolia Lane,1500.00
