customer_id,first_name,last_name,email,registration_date
1523,John,Smith,johnsmith@email.com,2020-03-15
2847,John,Smyth,jsmyth@gmail.com,2021-06-22
3392,Jane,Smythe,janesmythe@yahoo.com,2022-01-10
4156,Jack,Smith,jack.smith@outlook.com,2023-04-18
5821,Robert,Johnson,rjohnson@email.com,2020-07-23
6234,Bob,Jonson,bobjonson@gmail.com,2021-09-14
7459,Robert,Johnsen,rob.johnsen@yahoo.com,2022-11-05
8012,Bobby,Johnson,bobby.j@outlook.com,2023-02-28
1847,Catherine,Williams,catherinew@email.com,2020-05-12
2935,Katherine,Williams,katw@gmail.com,2021-08-17
3628,Kathryn,Wiliams,kathryn.wiliams@yahoo.com,2022-03-29
4791,Catherine,Wiliamson,cathy.w@outlook.com,2023-07-14
5283,Steven,Anderson,sanderson@email.com,2020-09-08
6472,Stephen,Andersen,stephen.a@gmail.com,2021-12-03
7815,Steve,Andersson,steve.andersson@yahoo.com,2022-06-21
3142,David,Brown,davidbrown@email.com,2020-11-19
4569,Dave,Browne,davebrowne@gmail.com,2021-04-25
5937,Daniel,Brown,danbrown@outlook.com,2023-08-11
6284,Michael,Davis,michaeldavis@email.com,2020-02-14
7453,Micheal,Davies,micheal.d@gmail.com,2021-10-30
8196,Mike,Davis,mikedavis@yahoo.com,2022-09-07
1962,Sarah,Thompson,saraht@email.com,2020-12-05
3574,Sara,Thomson,sarathomson@gmail.com,2021-03-18
4823,Sally,Thompson,sally.thompson@outlook.com,2023-01-22
5649,Allen,Martinez,allenmartinez@email.com,2020-06-09
6871,Alan,Martinez,alanm@gmail.com,2021-11-14
7294,Allan,Martines,allan.m@yahoo.com,2022-08-26
1234,Emily,Parker,emilyparker@email.com,2020-01-15
1456,James,Wilson,jameswilson@gmail.com,2020-02-20
1678,Maria,Garcia,mariagarcia@yahoo.com,2020-03-25
1892,William,Taylor,wtaylor@outlook.com,2020-04-30
2105,Linda,Moore,lindamoore@email.com,2020-05-05
2318,Richard,Thomas,rthomas@gmail.com,2020-06-10
